Date,Username,User tag,Content,Mentions,link
"2022-10-17,17:54:57","awliang","#0","","","https://cdn.discordapp.com/attachments/1031686703246737471/1031686784427511960/unknown.png"
"2022-10-27,20:52:29","awliang","#0","Hello and welcome to the <#1031686703246737471> channel <:nfteth:822186186016948314> 

Feel free to reach out to the ApeCoin Team at any point with your questions!


👀 **ABOUT** 
**ApeCoin** is an ERC-20 governance and utility token for decentralized communities building at the forefront of culture and web3. Yuga Labs, the company behind the Bored Ape Yacht Club ecosystem, is a contributor to the APE ecosystem and is adopting ApeCoin as the primary token for the BAYC ecosystem as well as upcoming metaverse and gaming experiences. APE adoption will be driven largely by communities who are driving culture forward through NFTs, art, gaming, entertainment, community and events. 


🏆 **PRIZE OVERVIEW **

🤝 **Best Integration:**
🥇 First Place - $2,000 
🥈 Second Place - $1,000
🥉 Third Place - $500

💡 **Best Contribution:**
🥇 First Place - $3,500
🥈 Second Place - $2,000
🥉 Third Place - $1,000

**↓ Full Prize Breakdown Here ↓ **
https://sf.ethglobal.com/prizes


🔗 **IMPORTANT LINKS**
https://apecoin.com/
https://forum.apecoin.com/
https://twitter.com/apecoin
https://etherscan.io/address/0x4d224452801aced8b2f0aebe155379bb5d594381
https://docs.apestake.io/#/
https://github.com/apestakeui/ui","",""
"2022-11-04,12:55:44","leeederek","#0","Hey ApeCoin sponsors! Excited to meet you guys and chat. I had a quick question about current painpoints within the ApeCoin DAO community. Can I DM someone on the team? Specifically looking for someone who is a contributor or community leader to the DAO. Thanks 🙂","",""
"2022-11-05,01:52:18","kirilligum","#0","we built a kyc transfer wrapper for erc721 and would like to wrap apecoin. can you send some to test on the testnet? is there a faucet?","",""
"2022-11-05,02:46:02","xinbenlv","#0","hi","",""
"2022-11-05,02:46:38","xinbenlv","#0","Dear sponsor team, does ApeCoin has testnet deployment, ideally on goerli? @here","",""
"2022-11-07,00:01:18","patrickworkman","#0","LFG! Thank you!!","",""
"2023-02-21,08:19:57","awliang","#0","","","https://cdn.discordapp.com/attachments/1031686703246737471/1077580442074619954/image.png"
"2023-03-06,00:07:02","awliang","#0","Hello and welcome to the <#1031686703246737471> channel <:nfteth:822186186016948314>

Feel free to reach out to the ApeCoin Team at any point with your questions!

👀 **ABOUT**
We encourage all developers to come build on ApeCoin. Whether you’re interested in governance improvements, security infrastructure, or a better way to drop custom merch, ApeCoin wants to make sure you have the resources to build it!

We are open to all ideas, but if you’re looking for some inspiration here are some areas our community has been interested in: Governance - DAO tooling, dashboards, analytics, etc Community - expanding ApeCoin reach to more NFT communities Security - tooling or resources for NFT holders, especially tooling around account abstraction


🏆 **PRIZE OVERVIEW**

**Best Integration Prizes go to the projects that can show the most innovative use of ApeCoin in a dApp.**
🥇 First Place - $2,000
🥈 Second Place - $1,000
🥉 Third Place - $500

**Best Contribution Prizes go to the projects that help the ApeCoin community the most.** 
🥇 First Place - $3,500
🥈 Second Place - $2,000
🥉 Third Place - $1,000

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/scaling2023/prizes


🔗 **IMPORTANT LINKS**
http://apecoin.com/
http://twitter.com/apecoin
http://forum.apecoin.com/
https://discord.gg/wg0
https://etherscan.io/address/0x4d224452801aced8b2f0aebe155379bb5d594381
https://docs.apestake.io/","",""
"2023-03-08,03:54:21","0xwebmoss","#0","Hi, can you give examples of custom merch that you would drop?","",""
"2023-03-08,08:40:46","gmbh","#0","do I need to hold APECOIN to join the discord?","awliang#0",""
"2023-03-08,09:00:58","gmbh","#0","How much apecoin is needed to enter?","",""
"2023-03-08,09:04:20","gmbh","#0","","","https://cdn.discordapp.com/attachments/1031686703246737471/1083027429716672532/Screenshot_2023-03-08_at_21.04.13.png"
"2023-03-08,09:04:24","gmbh","#0","is this correct?","",""
"2023-03-09,03:06:42","0xwebmoss","#0","Seems so, also tried to join 😭","",""
"2023-03-09,07:04:17","gmbh","#0","Anyone here from the Apecoin team? <@720407640131240026>","awliang#0",""
"2023-03-09,11:12:32","jvaleska","#0","buildling <:buidler4:707335147145396315>","",""
"2023-03-09,12:28:48","awliang","#0","I've just pinged their team to come answer all your questions 🙂","gmbh#0",""
"2023-03-09,12:30:49","gmbh","#0","thank you 🙏","awliang#0",""
