AuthorID,Author,Date,Content,Attachments,Reactions
"753696400788815874","vanshikasrivastava","11/07/2023 10:47 pm","i have replied you on main channel","",""
"962650951372664882","silkysweat","07/08/2023 10:30 pm","How do we access passkeys","",""
"753696400788815874","vanshikasrivastava","07/08/2023 11:48 pm","will share more on this once there is a proper release","",""
"962650951372664882","silkysweat","16/08/2023 12:07 pm","do you have estimates on the gas cost for using passkeys with AA?","",""
"962650951372664882","silkysweat","16/08/2023 12:08 pm","given its quite expensive to use the precompile","",""
"988537354002239548","uhtd","04/09/2023 12:27 pm","I am sorry, I am not sure it is right place to address my problem. I cannot claim rewards from staking. I am grateful if you can help me. Here  I send the tx details https://etherscan.io/tx/0xe9ceda39e74473b76c9a88526fef4697e965bacbf7a03bbc41ab78e857468185","",""
"375745310565335040","kavorka.eth","15/09/2023 10:27 pm","is it currently possible to make your own modules for the Biconomy wallet?","",""
"375745310565335040","kavorka.eth","19/09/2023 2:33 am","Any input on the question above?","",""
"375745310565335040","kavorka.eth","21/09/2023 2:06 am","@Rahat | Biconomy good to see the twitter announcement on the modular smart wallet framework, just in time for the hackathon. I see more modules in github. When could we see some documentation / examples come out?","",""
"375745310565335040","kavorka.eth","21/09/2023 3:18 am","or where can I ask questions about making my own Modules? Are you guys following https://eips.ethereum.org/EIPS/eip-6900 ?","",""
"542169022339350538","rahat","21/09/2023 3:29 am","Our devs are contributing to the standard and helping co auther it 🙂","",""
"542169022339350538","rahat","21/09/2023 3:29 am","the documentation has already been updated with some modules examples","",""
"542169022339350538","rahat","21/09/2023 3:29 am","note that the public package for modules is going to be released shortly","",""
"542169022339350538","rahat","21/09/2023 3:30 am","I will post here once it has","",""
"542169022339350538","rahat","21/09/2023 3:30 am","we will be fully 6900 compliant","",""
"542169022339350538","rahat","21/09/2023 3:36 am","here is an example of creating your own session key module","",""
"542169022339350538","rahat","21/09/2023 3:36 am","https://www.biconomy.io/post/modular-session-keys","",""
"542169022339350538","rahat","21/09/2023 3:36 am","will be a good primer the process will be similar but a lot easier with this relase","",""
"375745310565335040","kavorka.eth","22/09/2023 7:46 pm","that sounds awesome, will be sure to attend your presentation later today, and our hackathon project is going to be building on top of the SDK.","",""
"542169022339350538","rahat","22/09/2023 8:16 pm","Nice! Hope you build some cool modules the team will be around to help 🙂","",""
"375745310565335040","kavorka.eth","23/09/2023 11:58 pm","hi bro, I am trying to reach the team for support over Discord, for the hackathon, what is the best place for that? Are they available right now?","",""
