Date,Username,User tag,Content,Mentions,link
"2022-12-02,04:07:08","awliang","#0","","","https://cdn.discordapp.com/attachments/1048163280264364032/1048163400628322345/unknown.png"
"2022-12-02,04:13:28","awliang","#0","Hello and welcome to the <#1048163280264364032> channel <:nfteth:822186186016948314> 

Feel free to reach out to the EF Team at any point with your questions!


👀 **ABOUT** 
The **Ethereum Support Program (ESP) **is the public-facing allocation arm of the Ethereum Foundation focused on strengthening Ethereum's foundations and enabling future builders: improving infrastructure, expanding the range of tools available to those building on Ethereum, deepening our understanding of cryptographic primitives, and growing the builder ecosystem through education and community development.


🏆 **PRIZE OVERVIEW **

**The Ethereum Foundation will award $10,000 for projects building using Account Abstraction.**

📲 A browser-based or mobile wallet demonstrating creative use of ERC 4337:
2x🥇 — $2,500

🛠 Best ERC-4337 tools for developers and users:
2x🥇 — $2,500

**↓ Full Prize Breakdown Here ↓ **
https://ethglobal.com/events/ethindia2022/prizes


🚀 **WORKSHOP**
https://youtu.be/xHWlJiL_iZA


🔗 **IMPORTANT LINKS**
https://youtu.be/QuYZWJj65AY
https://eip4337.com/en/latest/resources.html","",""
"2022-12-02,14:26:26","0xdhruv","#0","Thanks for the resources.","",""
"2022-12-02,23:06:43","supernovahs","#0","<@784463459218751528>","plusminushalf#0",""
"2022-12-02,23:06:47","supernovahs","#0","Need help","",""
"2022-12-02,23:07:11","plusminushalf","#0","Hey yes tell me, I will be at the venue by 10:30","",""
"2022-12-02,23:10:05","supernovahs","#0","Ok  I'll meet u at the mentor table","",""
"2022-12-02,23:58:50","supernovahs","#0","<@784463459218751528> I'm at the mentor table","plusminushalf#0",""
"2022-12-03,00:14:46","plusminushalf","#0","Hey apologies, running late. Should be at the venue soon","",""
"2022-12-03,00:45:24","plusminushalf","#0","Checkout - https://github.com/plusminushalf/demo-aa/blob/main/src/runop.ts","",""
"2022-12-03,02:39:09","satwikkansal","#0","Hello! we wanted to discuss something wrt ERC4337, is it possible to speak to someone?","",""
