Date,Username,User tag,Content,Mentions,link
"2022-04-02,19:40:58","awliang","#0","","","https://cdn.discordapp.com/attachments/959960606729977986/959960667505451008/unknown.png"
"2022-04-12,15:23:26","awliang","#0","Hello and welcome to the <#959960606729977986> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Lens Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Lens Protocol** is a composable and decentralized social graph, ready for you to build on so you can focus on creating a great experience, not scaling your users. 

It's a user-owned, open social graph that any application can plug into. Each application using Lens benefits the whole ecosystem, turning the zero-sum game into a collaborative one. Developers can focus on crafting an excellent experience for their users and leave the growth hacking to the protocol!

Read more here: https://lens.dev/


🏆 **PRIZE OVERVIEW **

🥇 $6K for first prize
🥈 $2K for second prize

**↓ Full Prize Breakdown Here ↓ **
https://ethamsterdam.ethglobal.com/prizes/


🚀 **WORKSHOP** 
**Building on Lens Protocol**
Friday, April 22 @ 23:30
w/ David Silverman


🔗 **IMPORTANT LINKS**
- https://lens.dev/garden
- https://docs.lens.dev/docs","",""
"2022-04-21,06:41:28","Alex Groves","#6219","Hey","",""
"2022-04-21,06:41:37","Alex Groves","#6219","Really excited to build on lens this weekend","",""
"2022-04-21,06:41:49","Alex Groves","#6219","If you are interested in partnering - I'm a pm/entrepreneur","",""
"2022-04-23,05:03:39","Lsq","#9495","Is there someone from Lens at the co-working space that we can chat with regarding some technical questions?","",""
"2022-04-23,07:53:51","fluiddrop","#7004","gm, we'd love to chat with someone from lens about our project :)","",""
"2022-04-23,14:39:26","denhampreen","#0","Hi Lens 🌱 

We are hacking along on a unique follower module and have been working on the ui asynchronously on top of lenster (very cool btw). Naturally to side step the whitelisting of the custom follower module we are working locally. 

The ui is 'ready' 😅  and I would like to start doing the wiring to the contracts however need to reconfigure lenster to the local network. Lenster is quite heavily reliant on the api and I cant seem to find the api repo to run a local api. Is this something I can possibly do or get access to or should I shift gears and develop directly to the contracts via an embeded pvt key in the ui ?<a:blobsweat:963483356962648105>","",""
"2022-04-23,14:59:36","denhampreen","#0","Sitting in the EthAmsterdam hall next to the big screen if anyone from the team is around still <:pray:885657771524112386>","",""
"2022-04-23,15:07:31",".knos","#0","Hi, is there anyone from lens team still around? I am trying to mirror someone's post and having an error code 3.","",""
"2022-04-23,15:08:09","paweldev","#0","Hi there, we have very similar problem here. Is there anyone here to help with the LENS Api implementation?","",""
"2022-04-23,18:04:09","maggo","#0","Anyone seeing the issue when you transfer a profile NFT to another account that it disappears from the API? 🤔","",""
"2022-04-24,05:07:31","ayeayecapt3n","#1977","Can the sponsors <@376836186402193419> ping here if the judging booth is available for teams to participate in?","trotnixonline#0",""
"2022-04-24,05:08:13","trotnixonline","#0","gm gm stop by the lens booth to pitch!","",""
"2022-06-01,20:24:34","awliang","#0","","","https://cdn.discordapp.com/attachments/959960606729977986/981714913288421466/unknown.png"
