Date,Username,User tag,Content,Mentions,link
"2023-04-02,15:56:13","awliang","#0","","","https://cdn.discordapp.com/attachments/1092169448791756881/1092175677425451018/722D3D21-CF7E-47A6-A893-51380D4055D1_4_5005_c.png"
"2023-04-04,16:47:05","awliang","#0","Hello and welcome to the <#1092169448791756881> channel <:nfteth:822186186016948314>

Feel free to reach out to the Airstack Team at any point with your questions!

👀 **ABOUT**
**Airstack** is a developer platform that enables you to easily query and integrate any web3 on-chain data and related off-chain data into your apps. More powerful than previous solutions, Airstack enables complex queries in GraphQL that cut across on-chain/off-chain, cross-chain, cross-project, and identity data, and enables developers to not have to host their own infrastructure to integrate and serve relevant ecosystem data to end-users.

Featured integrations available at ETH Tokyo 2023: #Ethereum #Farcaster #NFTMetaData #NFTImages #NFTSales #Traits #Royalties #TokenBalances #Aggregations #Snapshots


🏆 **PRIZE OVERVIEW**

🔥Best overall use of Airstack APIs -- $3,000
👯 Best use of Airstack APIs in a consumer application -- $1,750
🗄 Best use of Airstack APIs in a business application or dev tooling -- $1,750
🪄 Best implementation of a project on our Ideas List -- $2,000

**Implementation of Airstack schemas for writing an in-demand Subgraph from our Ideas List:** 
🥇 $1,000
🥈 $250
🥉 $250


**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/tokyo/prizes


🚀 **WORKSHOP**
Building data-aware applications 
Time: 4:00 PM JST – Apr 14, 2023
Location: 5th Floor | Workshop Room 1


🔗 **IMPORTANT LINKS**
https://glory-bellflower-ba8.notion.site/Airstack-ETH-Global-Hackathons-2023-31417caf62aa45aca04a1cc612c24971
https://t.me/+uW6ypo49TcZmMGEx
https://docs.airstack.xyz
https://glory-bellflower-ba8.notion.site/Airstack-ETH-Global-Hackathons-2023-31417caf62aa45aca04a1cc612c24971","",""
"2023-04-14,01:22:27","ipeciura.eth","#0","Hi everyone! We have updated our ETHGlobal hacker page with more ideas for the hackathon!
https://glory-bellflower-ba8.notion.site/Airstack-ETH-Global-2023-31417caf62aa45aca04a1cc612c24971","",""
"2023-04-14,03:42:39","0x4ka","#0","nft rentals with airstack.","",""
"2023-04-14,04:17:54","ipeciura.eth","#0","Hello and welcome to the sponsor-airstack channel <:nfteth:822186186016948314>

Feel free to reach out to the Airstack Team at any point with your questions!

👀 ABOUT
Airstack is a developer platform that enables you to easily query and integrate any web3 on-chain data and related off-chain data into your apps. More powerful than previous solutions, Airstack enables complex queries in GraphQL that cut across on-chain/off-chain, cross-chain, cross-project, and identity data, and enables developers to not have to host their own infrastructure to integrate and serve relevant ecosystem data to end-users.

Featured integrations available at ETH Tokyo 2023: #Ethereum #Farcaster #NFTMetaData #NFTImages #NFTSales #Traits #Royalties #TokenBalances #Aggregations #Snapshots


🏆 PRIZE OVERVIEW

🔥Best overall use of Airstack APIs -- $3,000
👯 Best use of Airstack APIs in a consumer application -- $1,750
🗄 Best use of Airstack APIs in a business application or dev tooling -- $1,750
🪄 Best implementation of a project on our Ideas List -- $2,000

Implementation of Airstack schemas for writing an in-demand Subgraph from our Ideas List: 
🥇 $1,000
🥈 $250
🥉 $250


↓ Full Prize Breakdown Here ↓
https://ethglobal.com/events/tokyo/prizes","",""
"2023-04-14,07:15:35","sey323","#0","Hello. What kind of blockchain does this API support?
I would like to experiment with a testnet.","",""
"2023-04-14,07:17:51","ipeciura.eth","#0","Hi <@806453232028876811> we currently support Ethereum and Polygon mainnet. No testnets. 

We encourage you to poke around https://app.airstack.xyz/ for inspiration. If you decide to build on Polygon we can send you some Matic to play around.","sey323#0",""
"2023-04-14,07:24:17","sey323","#0","I see. 
I have already confirmed that as well. Additional question, is it possible to search NFTs created in Layer2?","ipeciura.eth#0",""
"2023-04-14,07:39:53","ipeciura.eth","#0","On Polygon - yes.","",""
"2023-04-14,08:20:54","sey323","#0","Ok. Thanx","ipeciura.eth#0",""
"2023-04-14,22:32:24","taionewgate","#0","<@960546692585910303> i can't get floor price of nft in opensea ( ethereum network )","ipeciura.eth#0",""
"2023-04-15,11:40:04","kf9498","#0","There were a lot of chopsticks remained.
I think you can take chopsticks there!!","",""
"2023-04-15,20:08:35","0x4ka","#0","<@960546692585910303> 
Thank you for helping our building!!
Name: 
Streaming NFT

Description: 
A Wallet with a NFT rental function that allows you to rent when you need it and lend it when you don't need it. Rentals can be from just 1 second to indefinitely and Renter just pay for while using.

DEMO:
https://eth-global-tokyo.vercel.app/

Github: 
https://github.com/synschismo/eth-global-tokyo/","ipeciura.eth#0",""
"2023-04-15,20:18:22","ipeciura.eth","#0","Hi - did you submit on the dashboard? Just checking, if not, I will add you to our internal tracker myself","0x4ka#0",""
"2023-04-15,20:24:04","0x4ka","#0","We submitted!
StreamNFT🔥","ipeciura.eth#0",""
"2023-04-15,20:27:40","0x4ka","#0","<@960546692585910303> here is public page!

https://ethglobal.com/showcase/streaming-nft-with-wallet-n559o","ipeciura.eth#0",""
"2023-04-16,04:56:34","ipeciura.eth","#0","Thank you again to all ETH Global 2023 teams for your awesome Airstack projects!

Here are the winning Airstack powered projects, congrats!!!

🔥 Best Overall Use of Airstack: Satori Drop — $3000.00
👯 Best Use in Consumer Application: 0xMarket — $1750.00
🗄 Best Use in a Business Application or Tooling: Apeify — $1750.00

🪄 🥇 Best Implementation of an idea on our Idea List: Wave 🌊 — $2000.00
🪄 🥈 2nd Best Idea Implementation: H3aven - Gata (Governance for Data) — $1500.00

As mentioned above, there were so many great projects build with Airstack that it was very very hard for our team to cut the list to just 5. We'll be circling back soon with rewards for all of the teams.","",""
"2023-04-27,05:01:24","awliang","#0","","","https://cdn.discordapp.com/attachments/1092169448791756881/1101070583174807592/Viewable_on_TV.png"
"2023-05-08,12:43:51","awliang","#0","Hello and welcome to the <#1092169448791756881> channel <:nfteth:822186186016948314>

Feel free to reach out to the Airstack Team at any point with your questions!

👀 **ABOUT**
**Airstack** is a developer platform that enables you to easily query and integrate any web3 on-chain data and related off-chain data into your apps. More powerful than previous solutions, Airstack enables complex queries in GraphQL that cut across on-chain/off-chain, cross-chain, cross-project, and identity data, and enables developers to not have to host their own infrastructure to integrate and serve relevant ecosystem data to end-users.

The Airstack AI Assistant enables you to query natural language inputs (e.g. “show me all tokens held by Vitalik.eth”) — a great way to get started if you’re new to GraphQL.


🏆 **PRIZE OVERVIEW**

🥇 Best overall use of Airstack APIs — $3,000
🥈 2nd best use of Airstack APIs — $2,500
🥉 3rd best use of Airstack APIs — $2,000
🎉 4th best use of Airstack APIs — $1,500
🎖 5th best use of Airstack APIs — $1,000

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/lisbon/prizes


🚀 **WORKSHOP**
Web3 data APIs for builders, with AI and GraphQL
Time: 05:30 PM WEST – May 12, 2023
Location: 2nd Floor | Workshop Room 3


🔗 **IMPORTANT LINKS**
https://glory-bellflower-ba8.notion.site/Airstack-ETH-Global-Hackathons-2023-31417caf62aa45aca04a1cc612c24971
https://t.me/+uW6ypo49TcZmMGEx
https://docs.airstack.xyz
https://glory-bellflower-ba8.notion.site/Airstack-ETH-Global-Hackathons-2023-31417caf62aa45aca04a1cc612c24971","",""
"2023-05-12,20:04:54",".sinane","#0","Hi, can we get data from testnet with airstack ?","",""
"2023-05-12,20:39:39","ipeciura.eth","#0","Hi Sean, it seems we connected on Telegram. Pasting the same just in case:
at the moment we only have Etehruem and Polygon mainnets. If you're planning to hack - we can send you some Matic to get you started on Polygon.",".sinane#0",""
"2023-05-13,08:10:50","anson5805","#0","Hi <@960546692585910303> can i have some Matic as well? was trying to query from mumbai as well:
```0x33e143139d43bCD0ABa3D6a05de0A32d8392a375```","ipeciura.eth#0",""
"2023-05-13,10:26:38","ipeciura.eth","#0","I see you also got it from Telegram  🙂","anson5805#0",""
"2023-05-13,12:32:31","xquietude","#0","Is it possible and not too difficult to fetch all DAOs that an address is eligible to participate in ? And fetch possible delegates of it","",""
"2023-05-13,13:41:37","ipeciura.eth","#0","Not sure I follow the question - can you share an example?","xquietude#0",""
"2023-05-13,13:42:17","ipeciura.eth","#0","We currently don't have DAO-specific information, such as delegates.

However, you can fetch all DAO token holders by entering the contract address.","",""
"2023-05-14,06:11:02","jasongoldberg_airstack","#0","Hi <@645968180849934346>  <@596033817433866240> <@688833306464223232> <@410137404431794196> we'd like you and your team to come demo to Airstack","viggos#0、dushcord#0、doncord#0、vangrim#0",""
"2023-05-14,06:11:43","jasongoldberg_airstack","#0","Hi <@959011964082876416> we'd like your team to come demo to Airstack","itsswappyb#0",""
"2023-05-14,06:12:46","jasongoldberg_airstack","#0","Hi <@585447417441419264>  <@592082761330720808> we'd like your team to come demo to Airstack","pierre9793#0、crocovivant#1553",""
"2023-05-14,06:13:22","jasongoldberg_airstack","#0","Hi <@547109538659172362> <@746815277513048144> we'd like your team to come demo to Airstack","xm3van#0、birany.#0",""
"2023-05-14,06:13:47","jasongoldberg_airstack","#0","Hi <@715794064011821070> we'd like your team to come demo to Airstack","sebastian_coronel#0",""
"2023-05-14,06:14:24","jasongoldberg_airstack","#0","Hi <@569983346495586314> <@598653878644375573> we'd like your team to come demo to Airstack","pitl0rd#0、andre_3kx#0",""
"2023-05-14,06:14:50","jasongoldberg_airstack","#0","Hi <@961942842228477972>, <@794664562871238708>, <@160874396897116160>, <@624088639713837056> we'd like your team to come demo to Airstack","kris0x#0、guilletala#0、anne_kr#0、.weyonce#0",""
"2023-05-14,06:15:13","jasongoldberg_airstack","#0","Hi <@402826133323644929>, <@303615808129466371> we'd like your team to come demo to Airstack","nikolay#9809、iss44#0",""
"2023-05-14,06:15:52","jasongoldberg_airstack","#0","Hi <@766058265704136724> we'd like your team to come demo to Airstack","bartomolina#0",""
"2023-05-14,06:16:09","jasongoldberg_airstack","#0","Hi <@765383501343621151> please come demo to Airstack","complexiasc#0",""
"2023-05-14,06:16:26","jasongoldberg_airstack","#0","Hi <@1007089154473070632> please come demo to Airstack","koit3#0",""
"2023-05-14,06:33:34","complexiasc","#0","What time until approx are you there for the demos?","jasongoldberg_airstack#0",""
"2023-06-08,11:27:21","awliang","#0","","","https://cdn.discordapp.com/attachments/1092169448791756881/1116388003976315012/Waterloo_2.png"
