AuthorID,Author,Date,Content,Attachments,Reactions
"513559670070444038","cryptoiscute","31/08/2023 6:20 pm","Gm","",""
"513559670070444038","cryptoiscute","31/08/2023 6:21 pm",":nekoheart::arbiflame:","",""
"115318820557553664","gaming.grandpa","31/08/2023 6:24 pm","gm 👀","",""
"755423697027727471","msv_mahsa#6693","31/08/2023 6:24 pm","Gm gm!:arbiblobblue:","",""
"1062418969346179245","josefp","31/08/2023 6:25 pm","gm ! :arbblue:","",""
"442478266616512513","hkalodner","31/08/2023 6:35 pm","What's up","","arbifrog (1)"
"897541670793515071","anatech_eth","31/08/2023 6:48 pm","Gm :arbiscroll:","",""
"577613876896727071","femzzyfembros","31/08/2023 6:49 pm","Gm","",""
"188027138891317249","eli_defi","31/08/2023 6:52 pm","**Learn about Stylus below!**👇

https://medium.com/offchainlabs/stylus-now-live-one-chain-many-languages-eee56ad7266d","",""
"828261986751086592","ricardo__gordon","31/08/2023 6:53 pm","Pinned a message.","",""
"828261986751086592","ricardo__gordon","31/08/2023 6:54 pm",":arbiblobblue:","",""
"511344743192461312","amarrazza","31/08/2023 6:59 pm","gm","",""
"511344743192461312","amarrazza","31/08/2023 7:03 pm",":Arbitrum_StylusLogomark:","","Arbitrum_StylusLogomark (7)"
"513559670070444038","cryptoiscute","31/08/2023 7:03 pm","GMM","",""
"513559670070444038","cryptoiscute","31/08/2023 7:03 pm",":arbiscroll::arbiscroll::arbiscroll::arbiscroll::arbiscroll:","",""
"513559670070444038","cryptoiscute","31/08/2023 7:03 pm",":Arbitrum_StylusLogomark::Arbitrum_StylusLogomark::Arbitrum_StylusLogomark::Arbitrum_StylusLogomark::Arbitrum_StylusLogomark:","",""
"311971895828283393","raulj","31/08/2023 7:04 pm","https://twitter.com/rauljordaneth/status/1697239801001578977 here's a program you can try on Stylus today: sha256 on testnet with examples of interacting with it via Rust","",""
"889861011740450826",".fyray","31/08/2023 7:06 pm","Gmmmmmm","",""
"513559670070444038","cryptoiscute","31/08/2023 7:09 pm","https://blockworks.co/news/arbitrum-stylus-testnet","","Stylus (1)"
"513559670070444038","cryptoiscute","31/08/2023 7:17 pm","https://www.coindesk.com/tech/2023/08/31/arbitrum-developer-courts-coders-who-already-know-webassembly-compatible-languages/?outputType=amp","","Stylus (2)"
"511344743192461312","amarrazza","31/08/2023 7:28 pm","https://twitter.com/gmEthereum/status/1697247202819842364 send it :Stylus:","",""
"470381593626673163","haythem1666","31/08/2023 7:40 pm","What is the diff between `sol_storage!`  and `#[solidity_storage]` ?","",""
"470381593626673163","haythem1666","31/08/2023 7:42 pm","Is it just the way the types are written? in `sol_storage!` it is basically like solidity, but in both cases it is the same in the EVM trie","",""
"311971895828283393","raulj","31/08/2023 7:45 pm","@Haythem sol storage! Lets you write solidity code within to define structs that will be translated into rust code that is storage backed. #[solidity_storage] can be added directly to rust structs to give them storage backings","","👍 (1)"
"470381593626673163","haythem1666","31/08/2023 7:49 pm","Why owner is returning Address and Vector, not only address? (I'm also a rust noob XD)

```
    pub fn owner(&self) -> Result<Address, Vec<u8>> {
        Ok(self.owner.get())
    }
```","",""
"311971895828283393","raulj","31/08/2023 7:53 pm","@Haythem all good, we’re excited for you to look more into the sdk! Result means something can fail. It will either return an address or an error. The error type is a vector of bytes","","👍 (1)"
"311971895828283393","raulj","31/08/2023 7:53 pm","Result is a common rust pattern for error handling","",""
"513559670070444038","cryptoiscute","31/08/2023 7:57 pm","We're going to soon let it be just `Address` if the method is infallible. The SDK is a work in progress, and we're super interested in whatever friction you run into","","👍 (1)"
"470381593626673163","haythem1666","31/08/2023 8:14 pm","When running `cargo stylus check` inside the `examples/erc20`

I get 

```
error: `core::slice::<impl [T]>::split_at` is not yet stable as a const fn
  --> /xxxxxxxx/xxx/xxxx/stylus-sdk-rs/stylus-sdk/src/abi/const_string.rs:32:23
   |
32 |         (_, source) = source.split_at(1);
   |                       ^^^^^^^^^^^^^^^^^^

error: `core::slice::<impl [T]>::split_at` is not yet stable as a const fn
  --> /xxxxxxxx/xxx/xxxx/stylus-sdk-rs/stylus-sdk/src/abi/const_string.rs:94:9
   |
94 |         self.data.split_at(self.len).0
   |         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^


error: could not compile `stylus-sdk` (lib) due to 2 previous errors
Stylus checks failed: failed to build project to WASM: cargo build command failed
```","",""
"165550481156866048","plasmapower","31/08/2023 8:18 pm","I think you need a newer rust version. Try `rustup update` if you're using rustup (recommended)","",""
"470381593626673163","haythem1666","31/08/2023 8:22 pm","Ah yeah working now, thnx","",""
"470381593626673163","haythem1666","31/08/2023 8:29 pm","Is it possible to write modifier or need to write it as a function?","",""
"513559670070444038","cryptoiscute","31/08/2023 8:34 pm","Right now you need a function","",""
"513559670070444038","cryptoiscute","31/08/2023 8:35 pm","Btw we're about to roll out an upgrade to the hello-world contract in around an hour that'll cut costs. We mistakenly configured a large stack size","",""
"513559670070444038","cryptoiscute","31/08/2023 8:35 pm","If you want it early, add
```rs
[target.wasm32-unknown-unknown]
rustflags = [
  ""-C"", ""link-arg=-zstack-size=32768"",
]
```
to your `.cargo/config`","",""
"470381593626673163","haythem1666","31/08/2023 8:50 pm","niice","",""
"470381593626673163","haythem1666","31/08/2023 8:50 pm","I don't get the `setter` function, it is meant to set value in storage right?","",""
"513559670070444038","cryptoiscute","31/08/2023 8:51 pm","Almost, it gives you a handle to a slot in storage, which you can then use to set the value","",""
"513559670070444038","cryptoiscute","31/08/2023 8:52 pm","Although you can often just `.set` directly","",""
"470381593626673163","haythem1666","31/08/2023 8:52 pm","~~Ah, so it is only used for mapping? and vars like bool and uint256 can use .set directly?~~

Why when updating `balance` in the erc20, it uses .setter to get that slot and then .set, vs when changing total_supply it just used .set()?","",""
"513559670070444038","cryptoiscute","31/08/2023 8:54 pm","Oh oops, we should change that, nice catch","",""
"513559670070444038","cryptoiscute","31/08/2023 8:54 pm","This is great feedback, much appreciated","",""
"513559670070444038","cryptoiscute","31/08/2023 8:54 pm",":Stylus:","",""
"513559670070444038","cryptoiscute","31/08/2023 8:55 pm","Oh looking at it now, in `transfer_impl` what's happening is we're using the setter to call `get`","",""
"513559670070444038","cryptoiscute","31/08/2023 8:56 pm","Like you'll see in the comments, we're going to make storage manipulation much prettier. Ideally you'd just do
```rs
self.balances[address] -= value;
```","",""
"513559670070444038","cryptoiscute","31/08/2023 8:56 pm","But right now it's a bit verbose","",""
"470381593626673163","haythem1666","31/08/2023 8:56 pm","so I can't just do now `self.balances.get(address)` ?","",""
"513559670070444038","cryptoiscute","31/08/2023 8:57 pm","You can","",""
"513559670070444038","cryptoiscute","31/08/2023 8:58 pm","Our method documentation on docs.rs is generating right now, but soon you'll have a page where you can browse all the methods","",""
"513559670070444038","cryptoiscute","31/08/2023 8:58 pm","In `self.balances` case, you'd see it's a `StorageMap`, and then be able to look at all the methods of `StorageMap` with comments detailing what they do","",""
"513559670070444038","cryptoiscute","31/08/2023 8:59 pm","We're 57th in the queue here 🙂
https://docs.rs/releases/queue","",""
"165550481156866048","plasmapower","31/08/2023 8:59 pm","If you want to get a head start you can check out the `stylus-sdk-rs` repo locally and run `cargo doc` 🙂","",""
"470381593626673163","haythem1666","31/08/2023 8:59 pm","so what's the diff between `self.balances.get(address)` and using `setter() + .get()` ? if they are the same, what's the reason between ur decision to use setter() + .get() ?","",""
"513559670070444038","cryptoiscute","31/08/2023 8:59 pm","Great point!","",""
"470381593626673163","haythem1666","31/08/2023 8:59 pm","okay make sense will stop asking for now and check doc later 😄","",""
"513559670070444038","cryptoiscute","31/08/2023 8:59 pm","We re-use the setter to do `.get` and then `.set`. We could have split that","",""
"513559670070444038","cryptoiscute","31/08/2023 9:00 pm","Oh actually it also lets you hold the same storage slot instead of hashing twice","",""
"513559670070444038","cryptoiscute","31/08/2023 9:00 pm","So it's a minor performance optimization too that nets around 30 gas","","👍 (1)"
