AuthorID,Author,Date,Content,Attachments,Reactions
"426197170262114304","entangled_qubit","22/03/2022 11:15 am","@everyone We'll use this channel for discussions on how developers can leverage the Axelar network for their applications. Feel free to ask us any questions.

Developer docs: https://docs.axelar.dev/roles/dev
Axelar SDK: https://github.com/axelarnetwork/axelarjs-sdk
Satellite web app: https://github.com/axelarnetwork/axelar-web-app","","👍 (65),🐦 (22),🔥 (6)"
"426197170262114304","entangled_qubit","22/03/2022 11:15 am","Pinned a message.","",""
"426197170262114304","entangled_qubit","22/03/2022 11:27 am","Hey @GeorgeIstanbul, moving your dev question here: https://discord.com/channels/770814806105128977/770814806105128980/954794523890941982

We've been updating the SDK and the backend so I think the previous inputs aren't valid anymore, make sure to try with the latest version. While currently we intend for developers to use the JS SDK to simplify the integration, @Canh T can help look into your issue to get it to work directly.","","👍 (28),🔥 (2)"
"439320203545935872","armxy","22/03/2022 1:14 pm","Hi","",""
"439320203545935872","armxy","22/03/2022 1:15 pm","I was checking axelard cli and couldn't figure out how to deploy smart contract.","",""
"439320203545935872","armxy","22/03/2022 1:15 pm","Wish anyone could give me some guide?","",""
"426197170262114304","entangled_qubit","22/03/2022 1:23 pm","What smart contract do you want to deploy?","",""
"439320203545935872","armxy","22/03/2022 1:23 pm","Talking about testnet here, just testing some CosmWasm contract.","",""
"756274079530745927","yrykhau","22/03/2022 1:34 pm","HI!","",""
"426197170262114304","entangled_qubit","22/03/2022 1:36 pm","Cosmwasm isn't enabled on Axelar yet","",""
"439320203545935872","armxy","22/03/2022 1:36 pm","Oh, can I deploy smart contract to axelar at all?","",""
"426197170262114304","entangled_qubit","22/03/2022 1:38 pm","Not on the Axelar network itself for now. We're prioritizing cross chain communication between smart contracts on other chains rn.","",""
"439320203545935872","armxy","22/03/2022 1:38 pm","I see, hmm...","",""
"439320203545935872","armxy","22/03/2022 1:38 pm","Ok, thanks.","",""
"238743247952936970","_slyfox_","22/03/2022 2:00 pm","Nice!","",""
