Date,Username,User tag,Content,Mentions,link
"2022-11-21,12:51:57","awliang","#0","","","https://cdn.discordapp.com/attachments/1042217838884171816/1044309206993469470/unknown.png"
"2022-11-28,05:28:41","awliang","#0","Hello and welcome to the <#1042217838884171816> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Biconomy Team at any point with your questions!


👀 **ABOUT** 
**Biconomy** is a Web3 developer platform that empowers blockchain developers to build without limits, so we can all easily access and benefit from a decentralised future.

We power meta-transactions at scale with a non-custodial, multi-chain, and gas efficient relayer infrastructure network.

Since Nov 2022, we’ve launched a powerful and hyper-flexible SDK that lets developers build effortlessly while keeping things simple for end users.

Integration with the SDK takes only minutes, and allows easy plugging, stacking, and customisation of APIs and modules that result in one-click user journeys, transaction bundling, and control over gas fees.

﻿https://biconomy.io


🏆 **PRIZE OVERVIEW **

🥇 Top Prize - $3000 - Best Module on Biconomy SDK
🥈 Second Prize - $2000 - Best Transaction Batch using Biconomy SDK
🏊‍♂️ Prize Pool - $5000 - Biconomy will grant $250 to dApps that integrate the Biconomy SDK, uses the smart contract wallets to build offer UX flows, and has a working demo/dapp (max 20 projects).

**↓ Full Prize Breakdown Here ↓ **
https://ethglobal.com/events/ethindia2022/prizes


🚀 **WORKSHOP**
**Building dApps that even grandmas can use**
Time: 05:30 PM IST – Dec 02, 2022
Location: Workshop Room 1


🔗 **IMPORTANT LINKS**
**Resources:**
Read our Docs https://rebrand.ly/bico-sdk-docs
Book a Demo: https://rebrand.ly/sdk-book-demo
**Contact us:**
Telegram https://t.me/biconomy
Email: support@biconomy.io
Twitter https://twitter.com/biconomy
Discord: http://discord.gg/biconomy
LinkedIn: https://www.linkedin.com/company/biconomy","",""
"2022-12-02,00:01:52","waterreptile19","#0","Hi.... Tried going through the docs","",""
"2022-12-02,00:02:03","waterreptile19","#0","where is **useWeb3AuthContext** coming from ?","",""
"2022-12-02,00:02:10","waterreptile19","#0","searched the sdk and its not there","",""
"2022-12-02,00:02:46","waterreptile19","#0","https://biconomy.gitbook.io/sdk/sdk-reference/connect-wallet","",""
"2022-12-02,00:02:48","waterreptile19","#0","from this","",""
"2022-12-02,08:47:46",".livingrock","#0","Hey <@301287416017190912> 
check this page
https://biconomy.gitbook.io/sdk/guides/user-onboarding-and-smart-account-deployments
and this as well
https://github.com/bcnmy/sdk-demo/tree/main/src/contexts","waterreptile19#0",""
"2022-12-02,08:50:04",".livingrock","#0","pasting all the resources here for exmaples and hosted demos","",""
"2022-12-02,08:50:08",".livingrock","#0","https://biconomy.gitbook.io/sdk/introduction/overview


https://sdk-demo.biconomy.io/bridge


https://eips.ethereum.org/EIPS/eip-4337


https://github.com/bcnmy/sdk-examples

https://github.com/bcnmy/sdk-demo

https://github.com/bcnmy/biconomy-sdk-starter-kit/pull/1/files

https://sdk-staging.biconomy.io/","",""
"2022-12-02,08:50:43",".livingrock","#0","feel free to hang out at the booth (ping on telegram <@745647175127793744>7 if anyone needs slides)",".livingrock#0",""
"2022-12-02,23:38:00","HarishTeens","#2672","Hey folks, After doing Social Login is there any auth token that is available ? need something to make API calls on behalf of the user","",""
"2022-12-03,00:19:50","__acidichydrogen__","#0","User Info","",""
"2022-12-03,00:48:36","ykw047","#0","Hey, auth token is not exposed via our sdk. Hence, you wouldn't be able to make API calls on behalf of the user","",""
"2022-12-03,05:07:52","__acidichydrogen__","#0","@here Checkout these examples on integrating the SDK: https://github.com/bcnmy/sdk-examples","",""
"2022-12-03,05:27:16","taijusanagi","#0","Hi we are  trying to use Biconomy SDK for the Account Abstraction. 

We are trying to have use Safe as Account Abstraction wallet and use Biconomy SDK to interact with it. I know we can deploy new one by this, but do you know how to connect existing custom Account Abstraction wallet?
https://biconomy.gitbook.io/sdk/guides/user-onboarding-and-smart-account-deployments","",""
"2022-12-03,05:30:16","freedress","#1108","Hi. I have few doubts about Biconomy.

To avoid, spam users doing gasless transactions and for easier onboarding, web2 social logins are used, right?","",""
"2022-12-03,05:54:29","__acidichydrogen__","#0","Thread","",""
"2022-12-03,05:55:17",".livingrock","#0","@here anyone facing webpack issues check this https://github.com/bcnmy/biconomy-client-sdk/issues/87","",""
"2022-12-03,07:13:01","pranavsudhir","#0","Hey,
I'm currently trying to create an account in biconomy. And it is asking for a  website URL while signing up.  How do we skip that portion as currently our project is being built and it is not deployed.","",""
"2022-12-03,08:51:03","shiva_mangina","#0","Hi Team, <@745647175127793744> 

```const { ethers } = require(""ethers"");
const HDWalletProvider = require(""@truffle/hdwallet-provider"");
const SmartAccount = require(""@biconomy/smart-account"").default;

const infura = ""X"";
const pkey = ""x"";

const main = async () => {
  let provider = new HDWalletProvider(pkey, infura);
  const walletProvider = new ethers.providers.Web3Provider(provider);

  const wallet = new SmartAccount(walletProvider, {
    activeNetworkId: 5,
    supportedNetworksIds: [5],
  });
  const smartAccount = await wallet.init();
 
  const balanceParams = {
 
    chainId: 5, // chainId of your choice
    eoaAddress: smartAccount.address,
   
    tokenAddresses: [""0x0000000000000000000000000000000000000000""],
  };

  const balFromSdk = await smartAccount.getAlltokenBalances(balanceParams);
  
  const erc20Interface = new ethers.utils.Interface([
    'function transfer(address _to, uint256 _value)'
  ])

const data = erc20Interface.encodeFunctionData(
  'transfer', [""0x4886D04828BE81Bd618666b2f93C0339B55a85a3"", new ethers.BigNumber.from(""11100000"")]
)

const tx1 = {
  to:  ""0x0000000000000000000000000000000000000000"",
  data: data
}
  
  

  const txHash = await smartAccount.sendTransaction({
    chainId: 5, // chainId of your choice
   
    tx: tx1,
  });
  console.log('txHash: ', txHash);
};
// const smartAccountSigner = smartAccount.getsigner()

main();```

I'm trying to run this code to send ERC 20 token

I'm getting this error

```Error: invalid BigNumber value (argument=""value"", value=undefined, code=INVALID_ARGUMENT, 
  reason: 'invalid BigNumber value',
  code: 'INVALID_ARGUMENT',
  argument: 'value',
  value: undefined
}```

can you please help me here?",".livingrock#0",""
"2022-12-03,08:51:51","shiva_mangina","#0","How to pass the amount in the transaction?","",""
