Date,Username,User tag,Content,Mentions,link
"2022-09-12,17:50:28","awliang","#0","","","https://cdn.discordapp.com/attachments/1018998431416586271/1019002083380318279/unknown.png"
"2022-10-03,09:05:43","awliang","#0","Hello and welcome to the <#1018998431416586271> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Cartesi Team at any point with your questions!


👀 **ABOUT** 

The Blockchain OS, is building Cartesi Rollups, a modular execution layer that elevates simple smart contracts to decentralized Linux runtimes. It allows developers to launch highly scalable rollup chains, and code decentralized logic with their favorite languages and software components.

- Every DApp has its own high-performing rollup chain;
- No cannibalization of resources from other DApps in Cartesi's ecosystem;
- No network gentrification;
- Enable an entirely new class of DApps that currently cannot run on EVM chains;
- Preserve the strong security guarantees of the underlying blockchain

Welcome to The Blockchain OS, home to what’s next.



🏆 **PRIZE OVERVIEW **

🥇 First prize - $5,000
🥈 Second prize - $3000
🥉 Third Prize - $2000

**↓ Full Prize Breakdown Here ↓ **
https://bogota.ethglobal.com/prizes


🚀 **WORKSHOP**

**Cartesi 🛠 Build decentralized Linux applications (with the stacks you’re used to)**
**Time:** 5:00 PM – Oct 07, 2022
**Location:** Workshop Room 4


🔗 **IMPORTANT LINKS**
https://drive.google.com/file/d/1SlHICuODVdZCJ8WT_bLGuPkGOXnBArov/view","",""
"2022-10-08,00:23:07","CarolSantos","#9243","Gente alguém disponível para tirar uma dúvida sobre como inicializar um projeto que usa cartesi?","",""
"2022-10-08,00:58:42","lynofz","#0","Hi, <@887112962689601546> 
How can help you?","CarolSantos#9243",""
"2022-10-08,01:29:18","CarolSantos","#9243","How we can start to develop in cartesi, in the website I didnt find nothing that helped me?","",""
"2022-10-08,01:47:13","lynofz","#0","You can go to cartesi rollups example on github https://github.com/cartesi/rollups-examples
There you can find echo examples on different languages and some examples using more interesting libraries.","",""
"2022-10-08,10:02:46","CarolSantos","#9243","Can I talk with you in private for explain my situation verter?","",""
"2022-10-08,10:05:09","lynofz","#0","Sure!
You can dm me","",""
"2022-10-08,12:41:55","maxim3615","#0","Hello need help. You guys on the ground?","",""
"2022-10-08,13:35:49","maxim3615","#0","Helloooo","",""
"2022-10-08,13:36:46","colinsteil","#0","Hey <@568136123881095182> you should be able to find <@965581010685280286> at our booth. Feel free to DM him.","maxim3615#0、lynofz#0",""
"2022-10-08,14:09:28","gabrielbarros1596","#0","I am here to help too! =]","",""
"2022-10-20,08:58:11","awliang","#0","","","https://cdn.discordapp.com/attachments/1018998431416586271/1032638868693979156/unknown.png"
