AuthorID,Author,Date,Content,Attachments,Reactions
"428567131110637579","critesjosh","09/02/2022 9:43 pm","Hi all, this is a channel to discuss the Celo Dapp Starter repo, which is a progressive web app, that aims to help devs get started building dapps on Celo. It uses hardhat, nextjs and use-contractkit out of the box. You can find more information here https://github.com/celo-org/celo-progressive-dapp-starter","","🚀 (3)"
"694292242067751004","aaronmgdr","10/02/2022 8:56 am","so cool @joshc","",""
"428567131110637579","critesjosh","10/02/2022 8:45 pm","community contributions are welcome! we are paying bounties for improvements https://gitcoin.co/issue/celo-org/celo-progressive-dapp-starter/2/100027610","","coinhug (4)"
"850511259115192393","AriCoin#7976","14/02/2022 11:14 pm","Hello @Valentin | cLabs I am having issues downloading the CSV in our Token transaction as well as getting our snapshot","",""
"520888511059066887","lopeselio","15/02/2022 2:58 am","This is super cool @joshc","","🙏 (1),➕ (1)"
"722478850440953888","valentinclabs","15/02/2022 9:10 pm","Hi @AlexrealNFT! This issue should be resolved now, could you check please?","",""
"850511259115192393","AriCoin#7976","15/02/2022 10:24 pm","Checking now","",""
"850511259115192393","AriCoin#7976","16/02/2022 12:04 am","Working thank you.  @Valentin | cLabs can I dm tou","",""
"722478850440953888","valentinclabs","16/02/2022 3:10 pm","Great, thanks. Of course, feel free to dm.","",""
"854996238223015936","0xarthurxyz","01/03/2022 3:43 pm","This is so cool! Thanks @joshc 💯","",""
"481457784156717086","anhnt4288","19/03/2022 10:21 pm","Hi @joshc 
I've made a submissions here 
https://gitcoin.co/issue/celo-org/celo-progressive-dapp-starter/2/100027610
and my pull request has accepted
https://github.com/celo-org/celo-progressive-dapp-starter/pull/12
But i'ven't received bounty reward yet, can you please check ?","","👍🏽 (1)"
"428567131110637579","critesjosh","21/03/2022 7:30 pm","hey thanks for flagging this. this was supposed to be paid, but obviously wasn't. I'll send it to you now","","🥳 (1)"
"481457784156717086","anhnt4288","21/03/2022 9:39 pm","i've received it, many thanks","","👍 (1)"
"481457784156717086","anhnt4288","22/03/2022 8:02 am","Can i create docker to improve this ?","",""
"428567131110637579","critesjosh","22/03/2022 7:30 pm","i am open to it. how would you use docker to improve it?","",""
"481457784156717086","anhnt4288","23/03/2022 9:00 am","I plan to do the following: 
1. Create dockerfile, docker-compose and load frontend (react-app) as a container service
2. Create Makefile to deploy contract & run docker frontend - it helps developer easily deploy quickly for their own services","","👌🏽 (1)"
"428567131110637579","critesjosh","23/03/2022 7:16 pm","do you think this would improve the existing experience? i am not sure that it is needed. it adds more overhead and doesn't make it that much easier. am i missing something?","","👍 (1)"
"481457784156717086","anhnt4288","23/03/2022 7:24 pm","oh okay, its may complicate for beginner user 😄","",""
"428567131110637579","critesjosh","23/03/2022 8:31 pm","maybe we could add this as a new branch. as you mentioned, it might be useful for more advanced users","","💯 (2)"
"481457784156717086","anhnt4288","24/03/2022 7:52 am","great, i will submit the PR soon","","👍 (1)"
"963026055290060841","superbow1#4882","11/04/2022 4:19 pm","Hi @joshc , I've submitted PR https://github.com/celo-org/celo-progressive-dapp-starter/pull/34","",""
"428567131110637579","critesjosh","11/04/2022 6:50 pm","hey thanks! sorry for the delay on this. I was at the Celo conference last week","","👍 (1)"
"428567131110637579","critesjosh","11/04/2022 6:50 pm","i will review this today","",""
"700760180811366420","markkos89","16/04/2022 4:48 am","hello","","👋 (2)"
"434502645361934358","vissequ","22/04/2022 6:45 pm","Hello","",""
"434502645361934358","vissequ","22/04/2022 6:47 pm","Can I ask specific questions here for support trying to modify the app, or is it more for letting people know when I've made changes?","",""
"940977457878691910","shinazouzoualerts#5942","22/04/2022 9:50 pm","We'll make sure you get the help you need - ask away !🙂","",""
"533355122340659200","harpaljadeja.eth","23/04/2022 3:51 pm","I am working on react native dapp starter","","🔥 (1)"
"533355122340659200","harpaljadeja.eth","23/04/2022 3:51 pm","https://www.youtube.com/watch?v=iqXBkLkxZoU","","🔥 (5),👌 (2),👏 (2)"
"738820430491549715","vividwood#1810","12/05/2022 2:42 am","New mobile UI","https://cdn.discordapp.com/attachments/941003424298856448/974056359999991868/ui.mp4","👌 (2)"
"738820430491549715","vividwood#1810","12/05/2022 2:42 am","https://github.com/celo-org/celo-progressive-dapp-starter/pull/39","",""
"434502645361934358","vissequ","15/05/2022 9:22 pm","Hello I am playing around with the celo progressive dapp starter and I'm adding WMATIC and WETH and I have used the Optics token. Is there a WBTC token that is also trustworthy to use? I am using Optics because I have used it many times and it always works. Thank you!","",""
"902595383065215078","aishat2376","16/05/2022 8:01 pm","hello, please has anyone successfully used celo-contractkit with typescript. I'm getting some type error
in` node_modules/@celo/contractkit/lib/contract-cache.d.ts:139:94`","https://cdn.discordapp.com/attachments/941003424298856448/975767354308964452/unknown.png",""
"694292242067751004","aaronmgdr","16/05/2022 8:40 pm","yeah I can help (hopefully)","",""
