Date,Username,User tag,Content,Mentions,link
"2021-01-19,14:49:51","brantly.eth","#0","Hey everyone! ENS is giving away $150 of ETH to each of the best 5 projects to integrate ENS. Check out our docs for help: docs.ens.domains","",""
"2021-01-19,14:50:10","brantly.eth","#0","Thanks to everyone who came to my workshop today, here are my slides","","https://cdn.discordapp.com/attachments/801175268639113216/801176701534470185/MarketMake_presentation_January_2021.pdf"
"2021-01-19,14:51:10","brantly.eth","#0","Here's the YouTube video of the workshop https://www.youtube.com/watch?v=PwnrbaGnYtM&ab_channel=ETHGlobal","",""
"2021-01-19,15:05:40","heatherdavidson","#0","thanks for sharing <@!404096280307171328> and for hosting such a great workshop!","brantly.eth#0",""
"2021-01-19,15:06:15","Texas Farmer 🏴(👥, 🤝)","#2662","thank you very much for today.","",""
"2021-01-19,15:46:58","jawe.eth","#4889","million thanks <@!404096280307171328> & <@!633090260326154261>","brantly.eth#0、heatherdavidson#0",""
"2021-01-19,15:48:05","jawe.eth","#4889","<@!404096280307171328> the https://docs.ens.domains/dns-registrar-guide had lost image","brantly.eth#0",""
"2021-01-19,15:48:46","jawe.eth","#4889","","","https://cdn.discordapp.com/attachments/801175268639113216/801191441795383296/Screenshot_2021-01-19_at_12.48.22.png"
"2021-01-20,13:33:29","moskalyk","#6720","when will .eth ens be composable parts of a platform / website, deriving value within each interface?

IPFS loads from a react lazy load of the content resolver, might be cool if anyting out there now","",""
"2021-01-27,15:44:23","brantly.eth","#0","Yeah sorry about that, we'll be updating all of this stuff soon with our expanded DNS namespace integration coming soon","jawe.eth#4889",""
"2021-01-27,22:48:34","jawe.eth","#4889","million thanks <@!404096280307171328>","brantly.eth#0",""
"2021-01-28,14:46:58","celthex_a.k.a_gae_mon","#0","Hi, 
We are looking to Forward resolve ENS names in our project - Could you link me some codefeature to intergrate forward resolution in our Scaffold-eth framework ?","",""
"2021-02-02,11:56:05","Cryptocastles","#4828","Hey I'm a dev on the EtherTree project 😊 is there a kovan deployment of ENS?","",""
"2021-02-05,11:05:58","makoto","#1548","no","Cryptocastles#4828",""
"2021-02-07,00:05:24","chimeradefi","#0","Hey, we integrated ENS for https://sharedstake.org/ 
It should also work from `sharedstake.eth` which points to the website and the deployer.","",""
"2021-02-08,04:29:49","borispovar","#0","Website: https://digiu-lab.github.io/MarketMake/
ENS + IPFS website (regular browsers): digiu.eth.link
ENS + IPFS website (required MetaMask): digiu.eth","",""
"2021-02-11,16:05:49","_splidge","#0","Hi there ENS, many thanks for recognising my project ""Stake Your Name"" for a prize! Can't believe I've gone from nothing and taking part in my first hackathon to now an ""award winning dev"" 😆   
I'm just reaching out as the ETH Global team have said we should make contact to sort out prizes.","",""
"2021-02-11,16:52:48","habibify","#0","Hi ENS, the whole** sublimate.finance** team wanted to thank you for this amazing prize! 🛠
We are happy that you awarded our project! 
Like <@!403298188120948746>, I'm reaching out for the prize 👋","_splidge#0",""
"2021-02-12,05:03:12","steve_pro.","#0","Hey ENS Team,

Thanks a lot for selecting **ENS Analytics**  project for prize.  Dappquery is looking forward to continue collaboration for future work on same line.","",""
"2021-03-16,10:51:11","brantly.eth","#0","Hey everyone! Happy to help you here with your questions if you're building with ENS","",""
"2021-03-17,11:01:22","emilyhobbs","#0","Hey everyone! 👋 

Just wanted to drop a quick intro & overview for **ENS!**

👀 **About**
ENS - Have one name for all your cryptocurrency wallets, a decentralised website, & more - with the security, censorship-resistance, and programmability of Ethereum.


🏆** Prize Overview**
**A total of $150 in ETH to each of the best five projects to integrate ENS.**

**See more on Prizes here:** https://www.notion.so/ethglobal/Prizes-NFTHack-9dfdb7ca6fd048d58631c41719cbdf4e


🔗 **Important Links**
**Webpage**
https://ens.domains/

**Intro: Decentralized naming for wallets, websites, & more.**
https://docs.ens.domains/","",""
"2021-03-17,11:01:28","emilyhobbs","#0","","",""
"2021-03-19,16:27:20","jennifertran.web3","#0","Hello all, would we be able to get an ENS domain for our project?","",""
"2021-03-19,17:38:31","jacobw","#0","For sure, you can grab them at https://ens.domains/","jennifertran.web3#0",""
"2021-03-19,17:39:24","jennifertran.web3","#0","Awesome, yes, but should we pay for it or is there a NFTHack code that we can use to get one for free or reduced cost?","jacobw#0",""
"2021-03-19,18:06:41","jacobw","#0","Hang tight, might have something for you","jennifertran.web3#0",""
"2021-03-19,18:13:31","jacobw","#0","Yeah unfortunately unlikely we'll be able to do codes for this event 😦","",""
"2021-03-19,18:23:11","jennifertran.web3","#0","Thank you for checking, Jacob!","jacobw#0",""
"2021-03-20,10:09:53","buan_thomas","#0","is it possible to purchase a higher level domain ie ; myproject.art instead of myproject.art.eth","",""
"2021-03-20,16:48:17","timhc22","#9337","hey <@!404096280307171328> are you around at the moment?","brantly.eth#0",""
"2021-03-20,16:52:35","brantly.eth","#0","Hey","timhc22#9337",""
"2021-03-20,16:55:01","timhc22","#9337","hows it going? I've been co-ordinating with Makoto last week for adding typescript support to ensjs, do you know if he has had a chance to check over it yet, I guess it is the weekend so he's probably taking time off","",""
"2021-03-20,16:55:36","timhc22","#9337","https://github.com/ensdomains/ensjs/pull/58","",""
"2021-03-20,16:55:58","timhc22","#9337","I've tested a few, but they could do with some more checking","",""
