Date,Username,User tag,Content,Mentions,link
"2023-07-21,02:12:20","awliang","#0","","","https://cdn.discordapp.com/attachments/1131830864888737862/1131831006316482570/Screenshot_2023-07-10_at_12.png"
"2023-07-21,02:16:05","awliang","#0","Hello and welcome to the <#1131830864888737862> channel <:nfteth:822186186016948314>

Feel free to reach out to the Flashbots Team at any point with your questions!

👀 **ABOUT**
Flashbots is a research and development organization formed to mitigate the negative externalities posed by Maximal Extractable Value (MEV) to stateful blockchains. Our primary focus is to enable a *permissionless*, *transparent*, and *sustainable* ecosystem for MEV, via a three-pronged approach:

- **Illuminate:** bringing transparency to MEV activity.
- **Democratize:** democratizing access to MEV revenue.
- **Distribute:** enabling sustainable distribution of MEV revenue.

We have brought transparency through open MEV activity analytics and dashboard and public and open , with the community, for the ecosystem. We have democratized access to MEV revenue with MEV-Boost that gives all validators access to MEV revenue on equal footing, with the support of a vibrant ecosystem of builders and searchers.

We have started distributing MEV revenue using the MEV-share protocol. This protocol returns 90% of captured MEV to users, wallets, and dapps, who can enjoy its benefits simply by sending transactions with programmable privacy to Flashbots Protect. MEV-share also poses a new challenge for searchers, as they must now learn how to compete for and execute against users' private transactions.


🏆 **PRIZE OVERVIEW**

💰 $2500 - most useful onboarding site for Flashbots Protect with MEV-Share
 💸 $1500 -  building the coolest bot searching on MEV-Share
🏆 $1000 - best design for using MEV-Share and programmable privacy in another application

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/paris2023/prizes


🚀 **WORKSHOP**
Leveling up the MEV Game with Flashbots
Time: 02:30 PM CEST – Jul 21, 2023
Location: Workshop Room 2","",""
"2023-07-21,12:45:40","odysseus0z","#0","Thanks a ton for the help setting up the channel!","",""
"2023-07-21,13:09:42","epheph","#0","hi","",""
"2023-07-21,14:56:55","epheph","#0","I'm here to help if anyone has any questions","",""
"2023-07-22,09:11:55",".cryptowanderer","#0","<@378236262743801867> where can I find you? I have some questions and Shea is mia","epheph#0",""
"2023-07-22,09:40:07","epheph","#0","hi! i'm not at ethCC but i can talk","",""
"2023-07-22,09:50:10","epheph","#0","<@605745673555542026>",".cryptowanderer#0",""
"2023-07-22,10:00:01",".cryptowanderer","#0","ok cool, whats up!","",""
"2023-07-22,10:00:16",".cryptowanderer","#0","I am playing around with searchers, but prefer to keep that to myself 😅","",""
"2023-07-22,10:00:23",".cryptowanderer","#0","So I'm building you a website","",""
"2023-07-22,10:01:14",".cryptowanderer","#0","I wonder if you have any thoughts about frameworks you'd prefer? I see that most of your stuff is managed with vercel, so I have gone down the nextjs route, with an automated vercel setup that should work with what you're already using for other site","",""
"2023-07-22,10:01:59",".cryptowanderer","#0","My main question is: how can I identify which transactions from a given connected account have specifically come from the Protect RPC so that I can display those to users and show them how much Flashbots has saved them... Any leads on how to do such a thing?","",""
"2023-07-22,10:02:26",".cryptowanderer","#0","<@378236262743801867>","epheph#0",""
"2023-07-22,10:30:40","epheph","#0","hey","",""
"2023-07-22,10:30:58","epheph","#0","so we have an api for this. as an example this transaction came through the flashbots protect: https://etherscan.io/block/17749257","",""
"2023-07-22,10:31:04","epheph","#0","https://blocks.flashbots.net/v1/blocks?block_number=17749257","",""
"2023-07-22,10:31:06","epheph","#0","this API lists various tx in each block as `bundle_type"":""flashbots` or `bundle_type"":""mempool`","",""
"2023-07-22,10:31:56","epheph","#0","although flashbots could either mean it came from protect OR from eth_sendBundle (like searchers)","",""
