Date,Username,User tag,Content,Mentions,link
"2022-06-01,20:23:53","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/981714740982198332/unknown.png"
"2022-06-16,23:54:42","awliang","#0","Hello and welcome to the <#981714727254257664> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Chain Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
The** Gnosis Chain **is a stable payments EVM (Ethereum Virtual Machine) blockchain designed for fast and inexpensive transactions. The chain uses a unique dual-token model; xDai is a stable token used for transactions, payments, and fees, and Proof of Stake protection will be provided by GNO with the consensus-layer Gnosis Beacon Chain.


🏆 **PRIZE OVERVIEW **

Deploy an innovative dApp on Gnosis Chain, formally known as xDai Chain.
🥇 1st prize: $3,000
🥈 2nd prize: $1,500
🥉 3rd prize: $500

**↓ Full Prize Breakdown Here ↓ **
https://ny.ethglobal.com/prizes/


🚀 **WORKSHOP** 
*Gnosis Chain will not be hosting a workshop.*


🔗 **IMPORTANT LINKS**
Main documentation: https://developers.gnosischain.com/
Getting started: https://developers.gnosischain.com/for-users/getting-started-with-gc
Developer resources (block explorer, RPC endpoints, dApp Toolings) https://developers.gnosischain.com/for-developers/developer-resources
Gnosis Chain Discord: https://discord.com/invite/gnosischain","",""
"2022-06-25,00:07:10","j0xseph","#0","Hey, we are looking for a game on gnosis chain using NFTs, being multiplayer with potentially an interest in having guilds. Or just the hottest game right now. Any recommendation?","",""
"2022-06-25,10:18:34","0xheavydev","#0","https://reality.eth.link/app/template-generator/ cant seem to load the template generator","",""
"2022-06-25,11:20:13","dan.jan.ai","#0","Hey! What are you trying to use this for?","0xheavydev#0",""
"2022-06-25,11:25:18","0xheavydev","#0","We are looking to use Reality Module from Zodiac","dan.jan.ai#0",""
"2022-06-25,11:25:51","dan.jan.ai","#0","Got it - I think you should post in the <#957997786270408724> channel! (cc <@372424005216370689>)","Germán | Safe#9666",""
"2022-06-25,11:29:33","0xheavydev","#0","thanks will do, thanks","dan.jan.ai#0",""
"2022-06-25,11:57:27","dan.jan.ai","#0","Check out the Dark Forest!","j0xseph#0",""
"2022-06-25,11:58:00","dan.jan.ai","#0","Alternatively, POAPs are the biggest trove of NFTs on Gnosis right now","j0xseph#0",""
"2022-06-25,17:47:21","j0xseph","#0","Thanks! Any way to get an invite ?","dan.jan.ai#0",""
"2022-06-25,17:48:24","dan.jan.ai","#0","I believe there’s a lobby now where you can spin up your own game","j0xseph#0",""
"2022-06-25,19:03:44","pe4enable","#0","Hi","",""
"2022-06-25,19:05:45","pe4enable","#0","Are there any chance for meet somebody from gnosis chain team on venue for pitch our project today?","",""
"2022-06-25,19:36:13","dan.jan.ai","#0","Hey sure! I’ll DM you","",""
"2022-06-26,11:53:06","_richardryan","#0","Hello Are y’all available for demos ?","",""
"2022-06-26,12:38:18","dan.jan.ai","#0","Hey yes! If you haven’t stopped by, we are at the Gnosis booth on the first floor","_richardryan#0",""
"2022-08-09,18:05:39","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/1006684711646670958/unknown.png"
"2022-08-16,04:45:39","awliang","#0","Hello and welcome to the <#981714727254257664> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Chain Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
The **Gnosis Chain** is a stable payments EVM (Ethereum Virtual Machine) blockchain designed for fast and inexpensive transactions. The chain uses a unique dual-token model; xDai is a stable token used for transactions, payments, and fees, and Proof of Stake protection will be provided by GNO with the consensus-layer Gnosis Beacon Chain.


🏆 **PRIZE OVERVIEW **

🥇 1st prize: $3,000
🥈 2nd prize: $1,500
🥉 3rd prize: $500

**↓ Full Prize Breakdown Here ↓ **
https://mexico.ethglobal.com/prizes/


🚀 **WORKSHOP** 
*Gnosis Chain will not be hosting a workshop.*


🔗 **IMPORTANT LINKS**
Main documentation: https://developers.gnosischain.com/
Getting started: https://developers.gnosischain.com/for-users/getting-started-with-gc
Developer resources (block explorer, RPC endpoints, dApp Toolings) https://developers.gnosischain.com/for-developers/developer-resources
Gnosis Chain Discord: https://discord.gg/VQb3WzsywU","",""
"2022-08-19,06:46:23","0xriptide","#0","is gnosis chain a completely different team than gnosis safe?","",""
"2022-08-19,06:46:48","0xriptide","#0","who from the team will be at ethmexico?","",""
"2022-08-20,00:15:45","usual_roger_kint","#0","Hi there, that is correct.  There are two different teams running Gnosis Chain and Gnosis Safe.  The two teams are very close and would be happy to connect or collect feedback for each other, etc.  

For EthMexico, Gnosis Chain is sponsoring.  Please feel free to stop by our booth or chat with us here.","0xriptide#0",""
"2022-09-12,17:50:37","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/1019002120701227008/unknown.png"
"2022-10-03,09:09:25","awliang","#0","Hello and welcome to the <#981714727254257664> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Chain Team at any point with your questions!


👀 **ABOUT** 
The **Gnosis Chain** is a stable payments EVM (Ethereum Virtual Machine) blockchain designed for fast and inexpensive transactions. The chain uses a unique dual-token model; xDai is a stable token used for transactions, payments, and fees, and Proof of Stake protection will be provided by GNO with the consensus-layer Gnosis Beacon Chain.


🏆 **PRIZE OVERVIEW **

**Best use of Gnosis Chain:**
🥇 1st prize: $3,000
🥈 2nd prize: $1,500
🥉 3rd prize: $500

**↓ Full Prize Breakdown Here ↓ **
https://bogota.ethglobal.com/prizes


🔗 **IMPORTANT LINKS**
Main documentation: https://developers.gnosischain.com/
Getting started: https://developers.gnosischain.com/for-users/getting-started-with-gc
Developer resources (block explorer, RPC endpoints, dApp Toolings) https://developers.gnosischain.com/for-developers/developer-resources
Gnosis Chain Discord: https://discord.gg/VQb3WzsywU","",""
"2022-10-08,21:54:27","0xpasho","#0","Hi, is Gnosis safe suitable for prizes ?","",""
"2022-10-09,10:57:58","hiteck.","#0","The bounty is for gnosis chain but if you use Safe on GC, we can def consider 🙂","0xpasho#0",""
"2022-10-09,14:05:58","someguy5420","#0","Thanks for hearing our pitch!
Project: https://ethglobal.com/showcase/wayback-aoye3","",""
"2022-10-09,14:06:01","someguy5420","#0","Repo: https://github.com/dylancaponi/wayback
Node Operator 1-liner for screenshot: https://github.com/dylancaponi/wayback/blob/main/snippets/cutycapt.txt","",""
"2022-10-09,15:01:12","hidetaka","#3633","I want to pitch but already leave??","",""
"2022-10-20,09:07:24","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/1032641185149366302/unknown.png"
"2022-11-01,05:10:05","awliang","#0","Hello and welcome to the <#981714727254257664> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Chain Team at any point with your questions!


👀 **ABOUT** 
The **Gnosis Chain** is a stable payments EVM (Ethereum Virtual Machine) blockchain designed for fast and inexpensive transactions. The chain uses a unique dual-token model; xDai is a stable token used for transactions, payments, and fees, and Proof of Stake protection will be provided by GNO with the consensus-layer Gnosis Beacon Chain.


🏆 **PRIZE OVERVIEW **

🥇 1st prize: 3,000$
🥈 2nd prize: 1,500$
🥉 3rd prize: 500$

**↓ Full Prize Breakdown Here ↓ **
https://sf.ethglobal.com/prizes


🚀 **WORKSHOP**
https://youtu.be/BC71jg8OJx0
https://youtu.be/BsDWR2lCk-E 


🔗 **IMPORTANT LINKS**
Main documentation: https://developers.gnosischain.com/
Getting started: https://developers.gnosischain.com/for-users/getting-started-with-gc
Developer resources (block explorer, RPC endpoints, dApp Toolings) https://developers.gnosischain.com/for-developers/developer-resources
Gnosis Chain Discord: https://discord.gg/VQb3WzsywU","",""
"2022-11-06,01:42:29","theeaztechprincess","#0","hi! do y'all have a scanner for y'all's test net? or would you prefer us to deploy on mainnet only?","",""
"2022-11-06,15:13:36","ethan88","#1863","Hi friends, if you'd like to chat with Gnosis team we are at the yellow table near Skale booth","",""
"2022-11-06,16:15:29",".vinc28","#0","Hi are you guys still judging? We were trying to find the booth earlier but couldn’t find it 😦","",""
"2022-11-06,18:26:15","._.fang","#0","same^^","",""
"2022-11-21,12:52:11","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/1044309267999641671/unknown.png"
"2022-11-28,05:39:52","awliang","#0","Hello and welcome to the <#981714727254257664> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Chain Team at any point with your questions!


👀 **ABOUT** 
The **Gnosis Chain** is a stable payments EVM (Ethereum Virtual Machine) blockchain designed for fast and inexpensive transactions. The chain uses a unique dual-token model; xDai is a stable token used for transactions, payments, and fees, and Proof of Stake protection will be provided by GNO with the consensus-layer Gnosis Beacon Chain.


🏆 **PRIZE OVERVIEW **

🥇 1st prize: $3,000 
🥈 2nd prize: $1,500 
🥉 3rd prize: $500

**↓ Full Prize Breakdown Here ↓ **
https://ethglobal.com/events/ethindia2022/prizes


🚀 **WORKSHOP**
https://youtu.be/BC71jg8OJx0


🔗 **IMPORTANT LINKS**
Main documentation: https://developers.gnosischain.com/
Getting started: https://developers.gnosischain.com/for-users/getting-started-with-gc
Developer resources (block explorer, RPC endpoints, dApp Toolings) https://developers.gnosischain.com/for-developers/developer-resources
Gnosis Chain Discord: https://discord.gg/VQb3WzsywU
How to deploy a DAO on Gnosis Chain: https://youtu.be/BsDWR2lCk-E","",""
"2022-12-03,02:51:16","_nvnx","#0","Where is Gnosis chain booth here at EthIndia??","",""
"2022-12-03,04:21:32","awliang","#0","Gnosis Chain does not have a booth at ETHIndia","_nvnx#0",""
"2022-12-03,08:35:19","Palak Mantry","#1056","Where can we access the testnet explorer?","",""
"2022-12-03,10:17:13","Palak Mantry","#1056","<@720407640131240026>  any suggestion for testnet explorer of gnosis?","awliang#0",""
"2022-12-03,14:42:29","hiteck.","#0","https://blockscout.chiadochain.net","",""
"2022-12-03,14:42:48","hiteck.","#0","<@705293336168235109>","Palak Mantry#1056",""
"2022-12-03,19:25:31","gaharavara","#0","where/how can I get safe contracts deployed on mumbai testnet ( is their any documentation/record present for the same )
```
const contractNetworks = {
    [id]: {
      // 3 smart contracts with which the safe will interact
      multiSendAddress: process.env.MULTI_SEND_ADDRESS,
      safeMasterCopyAddress: process.env.SAFE_MASTER_COPY_ADDRESS,
      safeProxyFactoryAddress: process.env.SAFE_PROXY_FACTORY_ADDRESS,
    }
```","",""
"2022-12-03,19:34:53","gaharavara","#0","<@720407640131240026>","awliang#0",""
"2022-12-03,19:53:00","awliang","#0","<@638658323708903425> from Gnosis Chain should be able to help you all here","alebanzas#0",""
"2022-12-03,21:00:22","gaharavara","#0","<@638658323708903425> lmk if you are available, we have integrated with the sdk to create multisig and other have made wrappers around other functions that we want to utilize, need the  above for testing everything 😅","alebanzas#0",""
"2022-12-03,21:00:45","gaharavara","#0","is their anyone present on venue who can help","",""
"2022-12-03,23:11:46","proBuilder","#6912","@here Our booth for the hackathon judging is in the Workshop Room-3","",""
"2022-12-03,23:38:33","Germán | Safe","#9666","Hi <@633672021221572632>, I just randomly saw this question. We were available in <#957997786270408724> (formerly Gnosis Safe and different than Gnosis Chain 😬). The addresses of the contracts can be find here in these json files: https://github.com/safe-global/safe-deployments/tree/main/src/assets/v1.3.0 Open the corresponding files depending on the contract addresses you want to get and search them by chainId inside","gaharavara#0",""
"2022-12-05,10:10:27","jdcontributiondao","#0","How to claim winning prize ser?","",""
"2022-12-07,08:19:25","jdcontributiondao","#0","👍","",""
"2023-02-09,06:30:13","awliang","#0","","","https://cdn.discordapp.com/attachments/981714727254257664/1073204172062736465/image.png"
