Date,Username,User tag,Content,Mentions,link
"2022-08-19,10:23:41","TimoKing","#3556","Hey Guys, 

i wanted to set up my own graph node and got this error after running ""docker-compose up"" 

ERRO Connection to provider failed. Not using this provider, error: deadline has elapsed, provider: mainnet-rpc-0
ERRO No store configured for Ethereum chain mainnet; ignoring this chain

i changed in the yml file the Ethereum environment to mainnet/xdai/gnosischain nothing would work.        'mainnet:http://ip-address/:port' 
(nodes run in different container)
if somebody set up a graph node and know what to do pls help","",""
"2022-08-22,16:01:49","plato-gnosis","#5517","cc <@638658323708903425>","alebanzas#0、TimoKing#3556",""
"2022-08-23,03:35:25","alebanzas","#0","Hi <@760198199934976001> we will work in the next days to build a guide","TimoKing#3556",""
"2022-08-23,13:44:58","TimoKing","#3556","Hi <@638658323708903425>,
that would be amazing, pls post it in announcements or here in this chatroom thx a lot looking forward to fix the bug...","alebanzas#0",""
"2022-08-25,18:12:18","hildobby","#0","Hey guys! I'm looking to add a list of tokens available on Gnosis to add them to Dune Analytics (so they would be available for everyone to easily query).

1. Where could I find an extensive list containing the contract_address, symbol name and number of decimal places for each token? 

2. Also looking for a list for NFTs with the contract_address and the name of each collection would be amazing!

The more extensive those lists are, the better, thanks!","",""
"2022-08-25,18:35:40","hildobby","#0","<@638658323708903425> I don't have permission to message in that thread you created 😅 

answer to your question is yes I have but the api doesn't allow me to easily pull a list with contract address, token ticker and amount of decimal places, ideally I would get this in a csv format somehow","alebanzas#0",""
"2022-08-25,18:38:45","alebanzas","#0","https://blockscout.com/xdai/mainnet/tokens
Maybe doing some web scrapping?","",""
"2022-08-26,21:53:27","Gimlu","#7305","Multiple DEXs have token lists
Honeyswap: https://unpkg.com/@1hive/default-token-list
Sushiswap: https://token-list.sushi.com
BaoFinance: https://raw.githubusercontent.com/baofinance/tokenlists/main/xdai.json
1inch: https://tokens.1inch.io/v1.2/100","hildobby#0",""
"2022-08-27,18:18:53","Gimlu","#7305","If you want to scrape tokens from blockscout:
https://plik.root.gg/file/6UzimdVX1j66mbk6/HatYe7581OJapZUy/tokens.csv
https://plik.root.gg/file/6UzimdVX1j66mbk6/UQnnEbj3b38CWxe7/token-scraper.py","hildobby#0",""
"2022-08-29,14:49:00","hildobby","#0","this is amazing, are those tokens all for gnosis?","Gimlu#7305",""
"2022-08-30,03:17:59","Gimlu","#7305","Yes","hildobby#0",""
"2022-08-30,09:35:30","hildobby","#0","amazing thank you!","Gimlu#7305",""
"2022-08-31,15:07:10","TimoKing","#3556","Hi Guys, 
i try to get a free archive node RPC or an archive node setup guide. 
Has someone an advice","",""
"2022-08-31,15:08:05","TimoKing","#3556","does someone know the current size of such a node?","",""
"2022-08-31,15:14:31","alebanzas","#0","Could you try setting these 2 configs?:
--Pruning.Mode=None
--Sync.FastSync=false","TimoKing#3556",""
"2022-08-31,18:29:30","Gimlu","#7305","`--config xdai_archive` should work. The easiest way is to use docker, here is an example of a `docker-compose.yml` file: https://pastebin.com/2QDnQ7dg
You are probably gonna need a couple TB of SSD storage.","TimoKing#3556",""
"2022-09-01,02:13:24","TimoKing","#3556","thx guys, 
is it more like 3Tb or 8-10Tb that will make a bit of a difference 😄","",""
"2022-09-01,06:38:18","ricky","#4211","3TB will be enough 😊👍","TimoKing#3556",""
"2022-09-01,12:50:34","TimoKing","#3556","THX","",""
"2022-09-01,21:34:40","olfal","#0","Given a Gnosis Safe transaction hash, how can I retrieve the on-chain transaction hash? I'm thinking I could use this API https://safe-transaction.gnosis.io (precisely the /v1/multisig-transactions/{safe-tx-hash}/confirmations endpoint), but can't find how to get an API key. Any idea?","",""
"2022-09-01,22:03:16","কাী 群不利","#5891","Can I have a free token ?","",""
"2022-09-01,22:03:26","কাী 群不利","#5891","I’m new too this NFT thingy","",""
"2022-09-07,09:28:00","cYcX","#3298","<@909897765121851463> <@105819900815101952> <@733031986167545967>","hiteck.#0、plato-gnosis#5517、armagan.ethgnosis#0",""
"2022-09-07,09:28:34","cYcX","#3298","I run it locally https://docs.gnosis.io/conditionaltokens/docs/pmtutorial1/ But I can't find the modules to add liquidity and remove liquidity. Please help me solve this problem!","",""
"2022-09-09,02:48:24","Micki","#8154","<@446967354375798804>","koeppelmann#0",""
"2022-09-09,02:48:49","Micki","#8154","Please I have a stuck but completed transaction","",""
"2022-09-09,02:49:16","Micki","#8154","<@255832236555894794>","no_planet_b#0",""
