Date,Username,User tag,Content,Mentions,link
"2022-05-31,00:17:35","awliang","#0","","","https://cdn.discordapp.com/attachments/981048767715356692/981048774698860554/unknown.png"
"2022-06-16,23:53:03","awliang","#0","Hello and welcome to the <#981048767715356692> channel <:nfteth:822186186016948314> 

Feel free to reach out to the BitDAO Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**BitDAO** is a collective of builders and stakeholders enabling mutually beneficial web3 ecosystems of people, products, and public goods. We utilize our treasury of billions in assets to grow an ecosystem of Autonomous Entities (AEs) with a shared vision for the future — driving the development of web3 tools and technologies across industries including arts, education, media, finance, gaming, and technology — and providing a return to the treasury.


🏆 **PRIZE OVERVIEW **

🥇 - $5,000 in BIT
🥈 - $3,000 in BIT
🥉 - $1,000 in BIT
💪 Runner Ups x 2 - $500 in BIT

**↓ Full Prize Breakdown Here ↓ **
https://ny.ethglobal.com/prizes/


🚀 **WORKSHOP** 
**Dao Tooling: Proposal Performance Bonds**
w/ afkbyte

🔗 **IMPORTANT LINKS**
https://docs.bitdao.io/","",""
"2022-06-21,13:40:57","lbrian","#0","Hey everyone! We're excited to be here at ETH NY! Please feel free to reach out at any time with your questions or ideas.

For more information about the two tracks we're sponsoring during this hackathon check out this Medium blog post:

**Track 1: DAO Treasury Deployment Tooling**
**Track 2: DAO Proposals Processes**

https://medium.com/bitdao/hackathon-ethnewyork-1c5943df86c4","",""
"2022-06-21,13:49:10","lbrian","#0","<:BIT:974359325126565918> DAO  x  Windranger are also hosting a hacker house, sign up using the link in the following tweet:
https://twitter.com/WindrangerLabs/status/1537170929184276484?s=20&t=Euc5u3NvZBLLiVRtJAmANQ","",""
"2022-06-25,18:28:59","afkbyte","#4391","Hi I will be here answering questions about our prizes!!!!!","",""
"2022-06-25,18:29:03","afkbyte","#4391","<:PU_PepeSaluteRemember:849231559240450068>","",""
"2022-06-25,18:40:22","nmwur","#0","@here who is also working on ""Track 2: DAO Proposals Processes""?","",""
"2022-06-26,10:38:27","afkbyte","#4391","hi all! If you want to present to our booth feel free to head over!","",""
"2022-06-26,10:52:03","franz101","#0","Coming <@891002315182596167>","afkbyte#4391",""
"2022-06-26,12:12:11","dontkillrobots","#0","https://github.com/ETHNYC-Squaaaaad","",""
"2022-06-26,12:45:35","foobarbaz","#2375","https://ethglobal.com/showcase/convexswap-bdfn3","",""
"2022-06-26,12:56:02","jaguarmouse","#0","https://ethglobal.com/showcase/debtfi-w2dr6","",""
"2022-06-26,13:10:17","abrickand","#2793","https://ethglobal.com/showcase/burghain-hyhby","",""
"2022-06-26,13:34:48","givemewifi","#7679","https://ethglobal.com/showcase/nomad-dao-8gesk","",""
"2022-06-26,15:26:52","leeederek","#0","<@891002315182596167> and the bitDao team! Thanks for letting us demo our sortition-based DAO to you guys 🙂 Here is the public showcase link: https://ethglobal.com/showcase/sdao-sorition-based-dao-gjcbr","afkbyte#4391",""
"2022-06-30,12:43:57","nett","#0539","The Soulcialites team plans on refining our product and I wanted to follow up with the bitDAO team members we presented to 🙂 <@891002315182596167> was it you?","afkbyte#4391",""
"2023-02-16,07:32:40","awliang","#0","","","https://cdn.discordapp.com/attachments/981048767715356692/1075756602575044638/image.png"
