Date,Username,User tag,Content,Mentions,link
"2023-04-13,10:04:25","awliang","#0","","","https://cdn.discordapp.com/attachments/1096073293125140523/1096073412499230790/Viewable_on_TV.png"
"2023-05-08,12:45:27","awliang","#0","Hello and welcome to the <#1096073293125140523> channel <:nfteth:822186186016948314>

Feel free to reach out to the Neon Labs Team at any point with your questions!

👀 **ABOUT**
The **Neon Foundation** is an organization with the mission to promote the development, growth, and adoption of Neon EVM and its ecosystem


🏆 **PRIZE OVERVIEW**

**Best use of Neon FVM**
🥇First place - $2500
🥈Second place - $1500
🥉Third place - $1000

**↓ Full Prize Breakdown Here ↓**
https://ethglobal.com/events/lisbon/prizes


🔗 **IMPORTANT LINKS**
https://docs.neonfoundation.io/
https://neonfaucet.org/
https://neonscan.org/
https://chainlist.org/chain/245022926","",""
"2023-05-12,05:53:48","dandaka","#0","This URL downloads a file, looks like a malware, super suspicious → https://docs.neonfoundation.io/docs/quick_start/","",""
"2023-05-12,19:27:32","olya3700","#0","Hi, This is strange. Try to follow this link https://docs.neonfoundation.io/","dandaka#0",""
"2023-05-13,19:47:36","jordan.public","#0","https://ethglobal.com/showcase/guardian-oracle-keeper-protocol-rpcws","",""
"2023-05-13,19:52:03","jordan.public","#0","Trying to deploy on the Neon Devnet. I get: 
Error: 
(code: -32000, message: gas limit reached: have 2415016 want 73951480, data: None)

Can you help?","",""
"2023-05-14,05:21:37","0xlucian","#0","Have you tried to increase the gas limit?","jordan.public#0",""
"2023-05-14,05:23:05","0xlucian","#0","Gas estimations on NeonEVM are very different from Ethereum.","",""
"2023-05-14,06:19:11","olya3700","#0","If you want to make a pitch of your project for Neon Team, we will wait for you near our table up to 13:00","","https://cdn.discordapp.com/attachments/1096073293125140523/1107250753975877652/IMG_4234.jpg"
"2023-05-14,07:16:12","jordan.public","#0","Yes","",""
"2023-05-14,12:30:54","0xlucian","#0","<@902911177997287454> Foundry uses contract call tracing. NeonEVM is currently not supporting that, but next week we will have all the implementation deployed. This could be 1 of the problems you were facing.. also the other one might be that Foundry has a hard cap on gasLimit that somehow has to be overridden","jordan.public#0",""
"2023-05-14,12:47:43","jordan.public","#0","I'll try it on Tuesday...","",""
"2023-05-14,12:47:48","jordan.public","#0","Thanks.","",""
"2023-05-18,11:02:21","jordan.public","#0","First, thank you for the prize - I am greatly honored by the Neon prize for my project.","0xlucian#0",""
"2023-05-18,11:45:50","0xlucian","#0","You did a great job. Keep up the good work","",""
"2023-05-18,11:50:45","jordan.public","#0","Please let me know when the contract call tracing fix is pushed. The Foundry gas limit is not an issue, as it works elsewhere with forge switches --gas-limit and --block-gas-limit.","0xlucian#0",""
"2023-07-10,14:50:08","awliang","#0","","","https://cdn.discordapp.com/attachments/1096073293125140523/1128035446002290808/Screenshot_2023-07-10_at_12.png"
