Date,Username,User tag,Content,Mentions,link
"2022-06-01,20:01:12","awliang","#0","","","https://cdn.discordapp.com/attachments/981708984056696892/981709033180381235/unknown.png"
"2022-06-16,23:56:16","awliang","#0","Hello and welcome to the <#981708984056696892> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Privy Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
You shouldn’t have to choose between protecting your users and building great products in web3.

**Privy** builds simple, powerful APIs so you can manage user data safely in web3. Privy helps you bridge the gap between users’ on-chain activity and their off-chain data so you can build delightful products without putting users at risk. With auth session libraries and two simple calls—privy.put() and privy.get()—encrypt user data directly from your front-end and privately associate data to on-chain addresses. No server required. Using Privy, you can: Text or email users without handling their personal information directly Take on financial and compliance data without storing it on your stack Surface a unified UI across wallets and across chains without doxxing your users.


🏆 **PRIZE OVERVIEW **

**Best products built using the Privy API:**
🎨 Best data-driven UX - $2,000
🤓 Most interesting data stored - $2,000
🪄 Most creative - $1,000

**↓ Full Prize Breakdown Here ↓ **
https://ny.ethglobal.com/prizes/


🚀 **WORKSHOP** 
https://www.youtube.com/watch?v=kwDDkMf7LPc


🔗 **IMPORTANT LINKS**
http://docs.privy.io/
https://docs.privy.io/guide/getting-started/quickstart
https://docs.privy.io/guide/reading-and-writing-data/linking-wallets
https://docs.privy.io/guide/actions/sending-emails","",""
"2022-06-24,15:17:51","nichochar","#0","Hello, I'm Nicholas with Privy, I'll be giving a talk at 5:30 on how Privy can help you guys build much quicker and more delightful apps during ETH-NYC! It would be crazy to miss it, so come hangout, we'll be in room 2.","",""
"2022-06-24,16:12:43","astasidedown","#0","Hi everyone! I'm Asta and I work on Privy. Here to help and hang out!!","",""
"2022-06-24,19:26:49","FreddieG","#7308","Hey are y’all in the sponsor floor? Couldn’t find you.","",""
"2022-06-24,20:28:53","sternhenri","#0","Hi! Sorry we were. No booth! But where are you! We’ll come to you 😉","",""
"2022-06-24,20:29:11","sternhenri","#0","<@767867478311043093>","FreddieG#7308",""
"2022-06-24,20:34:28","nichochar","#0","How can we help?","",""
"2022-06-24,20:41:29","FreddieG","#7308","Ah no worries, I'm at team forming lobby, but I'll bother you a bit later if you're still around.","",""
"2022-06-24,20:43:21","sternhenri","#0","Let’s do it! Would love to get you onboarded 😉 check out https://docs.privy.io/guide/getting-started/hackathon-guide for a few hackathon ideas. Some of these combine a few sponsors 🙂","",""
"2022-06-24,21:04:23","brymans","#0","hi!","",""
"2022-06-24,21:04:39","brymans","#0","where can i get an api key?","",""
"2022-06-24,21:10:15","sternhenri","#0","Sign up at https://console.privy.io","",""
"2022-06-24,21:10:56","sternhenri","#0","From there on you can get your keys from the api settings","",""
"2022-06-24,21:22:08","brymans","#0","thank you!","",""
"2022-06-24,21:22:41","sternhenri","#0","Here to help","",""
"2022-06-24,21:59:57","mof3078","#0","the docs point us to quickstart with nextjs, is there anyway to add privy to my create react app project?","",""
"2022-06-24,22:00:13","FreddieG","#7308","Hey I have a few questions is anyone available?","",""
"2022-06-24,22:14:14","sternhenri","#0","Yes. Where are you? Well come find you","",""
"2022-06-24,22:17:23","nichochar","#0","Check out the repos at https://github.com/privy-io/privy-flush","mof3078#0",""
"2022-06-24,22:24:28","FreddieG","#7308","Hey I'm at the EPFN table in front of Polygon","",""
"2022-06-25,09:41:38","shreenam","#0","Hello , where can I come and find you? I have some questions.","",""
"2022-06-25,09:50:58","shreenam","#0","the demo site is not working.","","https://cdn.discordapp.com/attachments/981708984056696892/990252769493532802/Screen_Shot_2022-06-25_at_9.50.36_AM.png"
"2022-06-25,10:37:49","shreenam","#0","it started working now. I still need help if anyones around?","",""
"2022-06-25,10:44:19","sternhenri","#0","Go to demos.privy.io","",""
"2022-06-25,10:44:32","sternhenri","#0","<@900105642021355542>","shreenam#0",""
"2022-06-25,10:44:47","sternhenri","#0","Where are you working from. We’ll come to you","",""
"2022-06-25,10:54:46","astasidedown","#0","<@900105642021355542> where can I come find you? 😄","shreenam#0",""
"2022-06-25,10:56:12","shreenam","#0","Hi I am in the main hall sitting near the green couches I am in gry and red Tshirt. <@839562594611626045>","astasidedown#0",""
"2022-06-25,10:56:41","astasidedown","#0","Coming!","",""
"2022-06-25,11:20:56","msk","#0","Hi, is there a Privy booth or anyone I can come talk to?","",""
"2022-06-25,11:42:03","relyt29","#0","hey <@839562594611626045> <@280909077234581506> and I applied for an API key 16 hours ago, no response ... any way we can get access to build our project","dmfxyz#0、astasidedown#0",""
"2022-06-25,11:42:18","relyt29","#0","we're on 3rd floor far corner rn if you want to verify we're real humans or something","",""
"2022-06-25,11:42:38","astasidedown","#0","Yes, our sign up is open - link incoming!","",""
"2022-06-25,11:42:54","astasidedown","#0","Also <@230932578515943425> where are you? I'll come to you?","msk#0",""
"2022-06-25,11:43:33","astasidedown","#0","https://www.console.privy.io/sign-up","",""
"2022-06-25,11:44:23","relyt29","#0","oh ok maybe that site wasn't up yesterday and we applied on a differen tlink","",""
"2022-06-25,11:44:24","relyt29","#0","thank you","",""
"2022-06-25,11:44:28","relyt29","#0","that looks like it could work","",""
"2022-06-25,11:44:51","astasidedown","#0","Sweet, let me know if you have questions! I'll come to you 🙂","",""
"2022-06-25,11:48:40","shreenam","#0","```ready - started server on 0.0.0.0:3005, url: http://localhost:3005
info  - Loaded env from /Users/namrata/Documents/shreyas/gitrepos/privy-pii-demo/.env.local
(node:33592) ExperimentalWarning: The Fetch API is an experimental feature. This feature could change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
/var/folders/nw/3lpyg7751p79678r5kd3xqhc0000gn/T/dev-1656171914251.sh: line 2: 33592 Bus error: 10           next dev -p 3005```

I started the server but i am the link is not opening. is this something known?","",""
"2022-06-25,11:49:07","astasidedown","#0","Omw!","",""
"2022-06-25,11:56:00","astasidedown","#0","<@719966996548288573> still around 3rd floor? I'll come hang for a bit 🙂","relyt29#0",""
"2022-06-25,12:10:17","relyt29","#0","Nah, we left cause wifi is unusable","",""
"2022-06-25,12:13:30","shreenam","#0","The quick start is unable to find the fav-color 🤔 .","","https://cdn.discordapp.com/attachments/981708984056696892/990288638640275507/Screen_Shot_2022-06-25_at_12.12.34_PM.png"
"2022-06-25,12:18:07","msk","#0","@asta apologies didn't see the message. I'm at the entrance of the Altman building. Facing the exit I would be to the right of it behind the drapes","",""
"2022-06-25,12:18:20","msk","#0","Anyone on the privy team is welcome!","",""
"2022-06-25,12:26:26","sternhenri","#0","did you create the field with the api or console?","shreenam#0",""
"2022-06-25,12:35:36","nichochar","#0","Has someone found you? I can head over!","msk#0",""
"2022-06-25,12:53:54","shreenam","#0","<@839562594611626045> just helped me fix it , thanks 🙂 .","astasidedown#0、sternhenri#0",""
"2022-06-25,14:27:49","nichochar","#0","<@801970275633332254> thread","harsheyskisses#0",""
"2022-06-25,15:09:55","shreenam","#0","hello . i was able to get the privy pii demo working. Does anyone have some time for a quick chat?","",""
"2022-06-25,15:31:16","sternhenri","#0","Cc <@206487791914188800> <@839562594611626045>","nichochar#0、astasidedown#0",""
"2022-06-25,15:33:42","nichochar","#0","Yes, I can help in a second!","",""
"2022-06-25,15:33:43","nichochar","#0","Where are you ?","",""
"2022-06-25,15:34:18","shreenam","#0","i am in the main hall , near the green couches. in red and gray tshirt.","",""
"2022-06-25,15:39:20","nichochar","#0","Coming","",""
"2022-06-25,15:39:52","imthatcarlos","#0","hey! we're trying to use the privy node lib in a tenderly lambda. runtime is node 14. this is the error we're getting when trying to instantiate the privy client","",""
"2022-06-25,15:39:59","imthatcarlos","#0","```
TypeError [ERR_INVALID_ARG_TYPE]: The ""key.key"" property must be of type string or an instance of Buffer, TypedArray, or DataView. Received an instance of Object
    at new NodeError (internal/errors.js:322:7)
    at prepareAsymmetricKey (internal/crypto/keys.js:288:13)
    at Object.createPrivateKey (internal/crypto/keys.js:349:5)
    at jwtKeyFromApiSecret (/opt/nodejs/node_modules/@privy-io/privy-node/dist/accessToken.js:54:29)
    at createApiSecretSigningFn (/opt/nodejs/node_modules/@privy-io/privy-node/dist/config.js:42:58)
    at new PrivyConfig (/opt/nodejs/node_modules/@privy-io/privy-node/dist/config.js:54:53)
    at new PrivyClient (/opt/nodejs/node_modules/@privy-io/privy-node/dist/client.js:66:9)
```","",""
"2022-06-25,15:40:33","imthatcarlos","#0","both the api + secret are of type string","",""
"2022-06-25,15:41:24","nichochar","#0","Hmm I wonder if we have a min node version req of 16 let me ask a friend brb","",""
"2022-06-25,15:41:31","imthatcarlos","#0","ok ty!","",""
"2022-06-25,15:41:42","imthatcarlos","#0","there's this issue thats old: https://github.com/privy-io/privy-js/issues/19","",""
"2022-06-25,15:43:17","nichochar","#0","I cannot find you! Is the main hall where the entry doors are?","shreenam#0",""
"2022-06-25,15:43:25","nichochar","#0","I have pink shorts <@900105642021355542>","shreenam#0",""
"2022-06-25,16:04:27","nichochar","#0","ok ty","",""
"2022-06-25,16:31:41","kirilligum","#0","Hi, is there a way to use privy to store a public key and allow only to white-listed user to see that public key?","",""
"2022-06-25,16:32:59","astasidedown","#0","Hi <@875633201568161824> yes!","kirilligum#0",""
"2022-06-25,16:33:10","astasidedown","#0","Can I come by and chat more? Where are you?","",""
"2022-06-25,16:36:48","kirilligum","#0","a table next to the main stage","astasidedown#0",""
"2022-06-25,16:36:53","kirilligum","#0","thank you","",""
"2022-06-25,16:37:48","astasidedown","#0","Here! I’m wearing a white shirt","",""
"2022-06-25,16:52:36","astasidedown","#0","<@875633201568161824> https://docs.privy.io/guide/advanced-permissions/advanced-permissions-model","kirilligum#0",""
