Date,Username,User tag,Content,Mentions,link
"2022-08-26,02:10:55","awliang","#0","","","https://cdn.discordapp.com/attachments/1009775956682088528/1012605042227953664/unknown.png"
"2022-08-30,13:09:03","awliang","#0","Hello and welcome to the <#1009775956682088528> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Quicknode Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**QuickNode** is the premier Web3 developer platform, helping today's most cutting-edge apps run with speed, reliability, and scale. Powering top projects & businesses, and empowering developers with instant access to 15+ chains across a global node network.


🏆 **PRIZE OVERVIEW **

**The best use of QuickNode's NFT API or Token API will be eligible to receive the following:**
🥇 1st - $2,500
🥈 2nd - $1,500
🥉 3rd - $1,000

**↓ Full Prize Breakdown Here ↓ **
https://online.ethglobal.com/prizes


🚀 **WORKSHOP**
https://youtu.be/IwkgZ3Hmaxs


🔗 **IMPORTANT LINKS**
Docs - https://www.quicknode.com/docs
Guides - https://www.quicknode.com/guides
YouTube - https://www.youtube.com/c/QuickNode/","",""
"2022-09-03,01:02:01","joelcodes","#0","Howdy everyone, is there anyone from the sponsor team that can validate if our idea is worth building? I organized the key components in a document I can share with you. Feel free to DM or reply here. Thank you!","",""
"2022-09-04,12:44:35","ryoko849","#0","Hi QuickNode team, I have a very basic question of how QuickNode is different from other API providers like Alchemy - I mean, I read that it is fast but what is the source of speed to make it presumably faster than other alternatives...?","",""
"2022-09-05,23:50:08","0xthresh","#0","hey all, is quicknode offering any use of Trace Mode for hackathon participants?","",""
"2022-09-12,18:08:27","darrylyeo","#0","Hey! I'm interested in using QuickNode's endpoints across multiple chains. Is there a way I can create more than one endpoint from my account?","",""
"2022-09-15,09:20:50","markcarey","#0","The web page for the NFT API says ""cross-chain NFT data"" but in the docs suggest ETH Mainnet only (`Currently supports ERC-721 and ERC-1155 compliant contracts (on Ethereum mainnet).`). Which is true? 😉","",""
"2022-09-17,10:42:35","temi0x","#0","<@526532354265710602>","joelcodes#0、darrylyeo#0",""
"2022-09-21,01:13:04","gamedev.","#0","Hello,
polygon mumbai testnet,
can not find to fetch NFT data API, any help ?","",""
"2022-09-21,07:23:42","optimus1981","#0","no fetch NFT api for polygon mainnet as well","",""
"2022-09-21,07:23:47","optimus1981","#0","I am working on the polygon mainnet","",""
"2022-09-21,07:24:00","optimus1981","#0","Please help","",""
"2022-09-21,16:45:01","riki6059","#0","Hello QuickNode team","",""
"2022-09-21,16:46:27","riki6059","#0","I would like to make the following function call in React:

  const approve = async () => {
      const abi = [
        {
          constant: false,
          inputs: [
            { internalType: ""address"", name: ""spender"", type: ""address"" },
            { internalType: ""uint256"", name: ""value"", type: ""uint256"" }
          ],
          name: ""approve"",
          outputs: [{ ""internalType"": ""bool"", ""name"": """", ""type"": ""bool""  }],
          payable: false,
          stateMutability: ""nonpayable"",
          type: ""function"",
        },
      ];
      const provider = new ethers.providers.JsonRpcProvider(""https://damp-tiniest-night.optimism-goerli.discover.quiknode.pro/7635709edb15d49d5a4d5bdf19649792a8805f41/"");
      const contract = new ethers.Contract(
        ""0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1"",
        abi,
        provider
      );
      const response = await contract.functions.approve(
        adSpaceContract, 1000000000000000000000
      );
      console.log(response);
  }","",""
