Date,Username,User tag,Content,Mentions,link
"2022-03-28,10:06:10","awliang","#0","","","https://cdn.discordapp.com/attachments/957997786270408724/958004074341621790/Logo_1.png"
"2022-04-12,15:23:24","awliang","#0","Hello and welcome to the <#957997786270408724> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Gnosis Safe Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Gnosis Safe** is the most trusted platform to manage digital assets on Ethereum and other leading protocols including Avalanche, Arbitrum, Gnosis Chain, Polygon, and more. Believing in the power of decentralization and open-source software development, we are building the Safe web and mobile application, developer tools and an inclusive online community to foster the core building blocks of the Web3 ecosystem. Gnosis Safe’s mission is to build a better usability and security standard of web3 and protect all user assets while still making them accessible and usable.


🏆 **PRIZE OVERVIEW **

**Gnosis Safe Legacy Module:**
🥇1st: $2,000
🥈 2nd: $1,250
🥉 3rd: $750

**Sign in with Gnosis Safe:**
🥇1st: $2,000
🥈 2nd: $1,250
🥉 3rd: $750

**↓ Full Prize Breakdown Here ↓ **
https://ethamsterdam.ethglobal.com/prizes/


🚀 **WORKSHOP** 
**Starting with the Safe Core SDK**
Saturday, April 22 @ 00:30 (Friday midnight)
w/ Germán Martínez


🔗 **IMPORTANT LINKS**
- https://gnosis-safe.io/
- https://gnosis-safe.io/app/welcome","",""
"2022-04-22,15:05:02","jorge_selva","#0","Hi everyone, more details on our bounties can be found here: https://gnosis-safe.notion.site/Gnosis-Safe-ETHAmsterdam-Bounties-85f0fae44e914335ab4da0eb8c69aea2","",""
"2022-04-22,15:35:39","alienflip","#0","🔥","",""
"2022-04-22,15:42:43","willgg","#1193","Hi Gnosis Team, I have a question about contract interaction. I would like to create a contract interaction with my gnosis address directly from my app instead of using the gnosis front-end. Can I do that and how ?","",""
"2022-04-22,16:40:04","ckartik","#8395","Is the Gnosis team still around?","",""
"2022-04-22,20:21:51","jorge_selva","#0","Hey, we’ll be around our booth all day tomorrow. Happy to answer any questions live 🙂","willgg#1193",""
"2022-04-23,04:42:21","willgg","#1193","Hey <@750769034965942454> there is nobody at your desk. Ping me when you are there pls 😇","jorge_selva#0",""
"2022-04-23,04:43:30","jorge_selva","#0","here! <@375369775460777985>","willgg#1193",""
"2022-04-23,04:46:42","Germán | Safe","#9666","Hey! This guide should help you with that https://github.com/gnosis/safe-core-sdk/blob/main/packages/guides/integrating-the-safe-core-sdk.md","willgg#1193",""
"2022-04-23,09:16:58","jorge_selva","#0","If anyone has questions on their hackathon projects, stop by our table anytime today. We’re happy to help! Our table is in the main sponsor room to the left of the stage.","",""
"2022-04-23,13:15:54","seeinplays","#0","Hi! we're setting up the safe-core-sdk and running into an issue, is there anyone from gnosis that can help?","",""
"2022-04-23,13:34:41","MarijoR","#8124","Hey, is anyone from gnosis still around?","",""
"2022-04-23,14:11:43","Germán | Safe","#9666","<@304611275802148864> <@616693534761811968>  We are back at the booth","seeinplays#0、MarijoR#8124",""
"2022-04-24,10:38:44","imcyborg","#0","🥳  fun event gnosis team, i learned alot 😄","",""
"2022-04-24,11:09:00","willgg","#1193","Thanks but you know using a sdk is not so web3 imho. The best is directly send a call to your contracts and it is still hard to understand how to do so.","Germán | Safe#9666",""
"2022-04-25,10:04:03","8baller 🎱","#9439","Hey guys!","",""
"2022-04-25,10:04:16","8baller 🎱","#9439","<@750769034965942454> How is it going?","jorge_selva#0",""
"2022-04-25,10:04:39","jorge_selva","#0","Recovering after a fun, long week 🙂 You?","",""
"2022-04-25,10:10:49","8baller 🎱","#9439","Feeling a bit fragile to be candid","",""
"2022-04-25,10:10:57","8baller 🎱","#9439","A bit of the post hackathon blues now!","",""
"2022-05-02,16:06:32","awliang","#0","","","https://cdn.discordapp.com/attachments/957997786270408724/970778340145393664/unknown.png"
