Date,Username,User tag,Content,Mentions,link
"2022-09-12,17:50:47","awliang","#0","","","https://cdn.discordapp.com/attachments/1018977212579446825/1019002159561461770/unknown.png"
"2022-10-03,09:23:50","awliang","#0","Hello and welcome to the <#1018977212579446825> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Scroll Team at any point with your questions!


👀 **ABOUT** 
**Scroll** is a zkEVM, a zk-rollup layer2 on Ethereum, compatible with Ethereum at the bytecode level. Being built in the open for over a year, Scroll’s mission is to scale Ethereum in the best way possible while preserving its core values. With the launch of the Pre-alpha testnet, Scroll is inviting the developer community to join early and begin innovating.


🏆 **PRIZE OVERVIEW **

💡 $2,500 prize for most-innovative
🚀 $2,500 prize for best zk-dapp

**↓ Full Prize Breakdown Here ↓ **
https://bogota.ethglobal.com/prizes


🚀 **WORKSHOP**

**Scroll 🛠 An Introduction to Scroll: Deploying contracts and a glimpse into the infrastructure**
**Time: **10:00 PM – Oct 07, 2022
**Location:** Workshop Room 4


🔗 **IMPORTANT LINKS**
Fill out the typeform: https://scroll.io/early-dev 
Join https://t.co/FtH7U2ANW1","",""
"2022-10-07,16:51:09","MeruemGungi","#2461","Hi guys","",""
"2022-10-07,16:55:32","MeruemGungi","#2461","Welcome to the discord!","",""
"2022-10-07,16:58:57","MeruemGungi","#2461","Everyone, do fill this typeform out for whitelisted access to the testnet:","",""
"2022-10-07,17:01:22","MeruemGungi","#2461","https://scroll.io/early-dev","",""
"2022-10-07,21:26:36","orestta","#0","Let us know if you're having any trouble!","",""
"2022-10-07,23:30:41","hiroism007","#0","This question may not be directly related to Scroll, but I am having a hard time catching up on Halo2. Is there any good guide or example repos somewhere?  I have some experiences of writing circuit in Circom but it’s pretty different.","",""
"2022-10-08,00:21:28","andyrdt","#0208","Halo2 can definitely be intimidating!
I'd recommend watching this talk by Ying Tong as an intro to Halo2 (starts ~1:17:00): https://youtu.be/VMLx0j5JuG0?t=4614 
The Zcash team also has a very good Halo2 book covering the math behind the proof system, as well as more practical documentation and examples: https://zcash.github.io/halo2/index.html
Hope this helps!","hiroism007#0",""
"2022-10-08,00:25:00","haichen_scroll","#0","We also have a Halo2 example repo to demonstrate how to write a Fibonacci circuit and a few simple gadgets using Halo2. https://github.com/icemelon/halo2-examples/","hiroism007#0",""
"2022-10-08,07:23:30","hiroism007","#0","Thank you! I'm going to check it!","",""
"2022-10-08,08:00:06","orestta","#0","Note: you don't need to use halo2 yourself to apply for our zk hackathon prize. Feel free to focus on a use case and let Scroll abstract the math away for you 🙂","",""
"2022-10-08,08:08:29","hiroism007","#0","Yeah. I will try halo2 after this hackathon and now focusing on building another zk-dapp on Scroll!","",""
"2022-10-08,08:15:30","orestta","#0","Great! You got whitelisted already?","hiroism007#0",""
"2022-10-08,08:20:36","hiroism007","#0","Yes!  In fact, I applied for the allowlist some months ago and got it on 5 Oct.","orestta#0",""
"2022-10-08,10:03:51","YonathanCruz","#0074","hello, i registered in the alpha testnet already","",""
"2022-10-08,10:04:20","YonathanCruz","#0074","anyone else know how to be accepted","",""
"2022-10-08,10:04:26","YonathanCruz","#0074","gm!","",""
"2022-10-08,10:48:21","orestta","#0","Perfect. Hit us up if you need anything","hiroism007#0",""
"2022-10-08,10:48:52","orestta","#0","Hi, could you DM me your addr? I'll make sure you get accepted sooner 🙂","YonathanCruz#0074",""
"2022-10-08,10:49:11","YonathanCruz","#0074","Sure!!","",""
"2022-10-08,13:10:22","turupawn","#0","Hello guys, I just successfully launched a test dapp on L2 testnet. And now I want to do interoperability between layers.

Can anyone provide me the messanger contract on L1 and the solidity source code 🙏 🙏 

I looked for it on github and on the guides but no luck","",""
"2022-10-08,13:36:32","MeruemGungi","#2461","Hi all, we are whitelisting participants actively, please message here, <@648103584503693332> or me if you don't have access 🙂","orestta#0",""
"2022-10-08,13:36:40","MeruemGungi","#2461","And everyone should also have received an email","",""
"2022-10-08,17:55:21","haichen_scroll","#0","Right now our bridge frontend hasn't added custom ERC20 token bridging functionality. That's why there's no guide about it yet. We will have the doc once our bridge frontend supports it. Right now, you can just deploy and play with it on the L2.","turupawn#0",""
"2022-10-08,21:46:20","ariutokintumi","#0","Hi guys","",""
"2022-10-08,21:46:32","ariutokintumi","#0","Any stills on the hacking area?","",""
"2022-10-09,17:44:51","orestta","#0","Congrats everyone!!!","",""
"2022-10-16,21:47:15","orestta","#0","Hi guys, we'd really appreciate it if you could tweet about your experience with using Scroll and tag @Scroll_ZKP","",""
"2023-02-10,04:22:02","awliang","#0","","","https://cdn.discordapp.com/attachments/1018977212579446825/1073534300156338186/image.png"
