AuthorID,Author,Date,Content,Attachments,Reactions
"899660332144930826","Henri#6408","17/01/2022 7:22 pm","Hello hello,
You can ask your question here regarding the starknet-cairo-101 tutorial and the follow up workshops","",""
"899660332144930826","Henri#6408","17/01/2022 7:23 pm","Important: There is a booby trap in exercice 11 https://github.com/l-henri/starknet-cairo-101/blob/main/contracts/utils/ex11_base.cairo#L120","",""
"899660332144930826","Henri#6408","17/01/2022 7:23 pm","Pinned a message.","",""
"122388863946588162","simon_ott","17/01/2022 11:16 pm","Sorry, maybe the wrong channel but does this still work? https://t.co/F4RcI12kuB Everytime I want to post a graffity it returns the same tx which does not exist and says ""Sorry, we are unable to locate this transaction."" in voyager.","","👍 (1)"
"762964914728861707","jejom43","18/01/2022 2:49 am","Hi, I allow myself to put my little site which can perhaps help to start on the right paths.","",""
"762964914728861707","jejom43","18/01/2022 2:49 am","http://symbonstark.surge.sh/","","ThumbsUp (2),👀 (1)"
"762964914728861707","jejom43","18/01/2022 2:50 am","any advices or bugs report are of course welcome.","",""
"899660332144930826","Henri#6408","18/01/2022 3:10 am","Hello, nope there was a limit on the number of txs that was allowed to be sent; you can probably still test it on testnet though
I don't have time this week but I'll make it more usable next week if that's ok?","",""
"122388863946588162","simon_ott","18/01/2022 4:04 pm","Sure thanks, no worries!","",""
"227799859598589953","juoness","19/01/2022 12:27 am","hello, currently i've no answer on read/write tab smart contract on voyager, something wrong on your side or it's just me ? thanks","",""
"754641878934225008","odinfree","19/01/2022 12:47 am","today is a bit choppy road because of the update but it looks better now: https://goerli.voyager.online/","",""
"227799859598589953","juoness","19/01/2022 12:29 pm","@odin free | StarkWare  this morning it's ok, TY","",""
"754641878934225008","odinfree","19/01/2022 12:42 pm","patience is worth its weight in gold in the alpha phase. thank you for your understanding. :thisisfine:","","👍 (2),🥂 (1)"
"707004272121872395","Othman#5601","20/01/2022 1:45 am","Hello I'm trying from yesterday the exercices of the tutorial but the transactions does not pass ""Sorry, we are unable to locate this transaction."". Is it working for you ?","",""
"740810957399523411","cyph.err","21/01/2022 2:33 am","hey, had a doubt in fourth exercise -

in function `claim_points` there's an assert which checks if the user assigned slot is not != 0. But the slot 0 is assigned to the first person using the contracts in the function `assign_user_slot` `user_slots_storage.write(sender_address, 0)`. I know 0 is also the value returned when the slot is uninitialized (hence the check), but then we probably shouldn't be assigning slot 0 to anyone. Right?","",""
"754641878934225008","odinfree","21/01/2022 3:14 am","mine is working","",""
"444926423317348362","mersona","21/01/2022 3:30 am","You need the be patient, like really patient
Patience is a virtue, say Argent X 🙃 
Tx will eventually pass, this afternoon it was quite quick vs yesterday
And to be able to locate the tx you need to wait that the tx is reflected in the explorer, which come with delay from what I've seen","","ThumbsUp (2)"
"227799859598589953","juoness","21/01/2022 5:54 pm","@cyph.err the same, this function is not very clear, maybe for a specific case","",""
"754641878934225008","odinfree","21/01/2022 10:12 pm","dear ser, can blease another sneaky author make sneaky tutorials blease. mi familia need this points.","",""
"840838083993665537","ruslan.klinkov","21/01/2022 11:40 pm","hey guys! where can I get the goerli network settings?","",""
"390765622625173506","9atetris","22/01/2022 8:36 am","click network button on ArgentX, could you?","",""
"840838083993665537","ruslan.klinkov","22/01/2022 11:17 am","","https://cdn.discordapp.com/attachments/932633376563802152/934323432034828328/2022-01-22_08.47.16.png",""
"840838083993665537","ruslan.klinkov","22/01/2022 11:19 am","im used chainlist and check some problem with goerli network then try add into metamask","",""
"390765622625173506","9atetris","22/01/2022 12:44 pm","ok but what tutorial are you trying? i thinks you dont need to prepare metamask for newbie one","",""
"840838083993665537","ruslan.klinkov","22/01/2022 12:45 pm","Transfer nft into L1. On mintsquare instructions","",""
"390765622625173506","9atetris","22/01/2022 12:46 pm","huum, i see.","",""
"390765622625173506","9atetris","22/01/2022 12:46 pm","let  me check it","",""
"840838083993665537","ruslan.klinkov","22/01/2022 12:46 pm","","https://cdn.discordapp.com/attachments/932633376563802152/934345813193293844/2022-01-22_10.16.08.png",""
"390765622625173506","9atetris","22/01/2022 12:47 pm","ah, you may get better answers from their contents or server for now. or for goerli on metamask, to use metamask support may be best choice @ruslan.klinkov","",""
"390765622625173506","9atetris","22/01/2022 12:48 pm","it seems mintsquare's tutorial","",""
"390765622625173506","9atetris","22/01/2022 12:50 pm","btw i think goerli deployed already when you installed metamask, dont you?","",""
"840838083993665537","ruslan.klinkov","22/01/2022 12:53 pm","Yeap","","StarkNet (1)"
"390765622625173506","9atetris","22/01/2022 1:12 pm","beside mintsquare one, lets try it below. you can learn how to use ArgentX and voyage
https://discord.com/channels/793094838509764618/853954510515208192/930835511734595595","","👍 (1)"
"303487275923406848","anil2ec4","23/01/2022 9:05 pm","@odin free | StarkWare hi bro, i wanna ask you something. i want to use suez.dev bridge but i have an issue. i deposit eth to starknet with L1 goerli but i could not transfer it to argent x wallet. whenever i try it it's rejected. why it is?","",""
"754641878934225008","odinfree","23/01/2022 10:08 pm","soon we should have an updated suez bridge, you can use tst tokens on starknet alpha, no need to bridge.","",""
"303487275923406848","anil2ec4","23/01/2022 10:17 pm","thank you for your answer, i use tst tokent too, i just want to try bridge","",""
"303487275923406848","anil2ec4","23/01/2022 10:18 pm","Is the network slow because it is goerli?","",""
"754641878934225008","odinfree","23/01/2022 10:20 pm","With the launch of the new version, we are currently experiencing massive demand. StarkNet's capacity is still locked and therefore it can take a long time for transactions to be processed. Once the training wheels are removed, transaction time will be massively reduced. Thank you for your enthusiasm to try StarkNet in these early days. It should now get better any day/week.","",""
"303487275923406848","anil2ec4","23/01/2022 10:22 pm","i use briq, suez, myswap, mintsquare. is there Is there another project I can try? I used you and your flood as a reference.","",""
"303487275923406848","anil2ec4","23/01/2022 10:23 pm","gonna use it always brother","",""
"754641878934225008","odinfree","23/01/2022 10:24 pm","now learn cairo.","",""
"303487275923406848","anil2ec4","23/01/2022 10:25 pm","I have no knowledge of coding, can I succeed?","",""
"754641878934225008","odinfree","23/01/2022 10:28 pm","if you start then yes. this Cairo tutorial is READING ONLY. Henri's new tutorial has just started, it's pretty easy to follow and you can earn some juicy points: https://discord.com/channels/793094838509764618/853954510515208192/930835511734595595","",""
"303487275923406848","anil2ec4","23/01/2022 10:29 pm","thank you, going to look it","","Pikaroll (1)"
"899660332144930826","Henri#6408","24/01/2022 2:21 pm","Hey so you are sort of right
The first ever person to call the contract receives slot 1:
https://github.com/l-henri/starknet-cairo-101/blob/main/contracts/ex04.cairo#L105
BUT BUT BUT you are right; there is an issue when the counter resets:
https://github.com/l-henri/starknet-cairo-101/blob/main/contracts/ex04.cairo#L102
I will update the tutorial this week, will correct it. Thanks","",""
"740810957399523411","cyph.err","25/01/2022 2:50 am","when does the counter reset? when felt overflows?","",""
"899660332144930826","Henri#6408","25/01/2022 3:52 pm","hello, there are 100 random values in the contract.
So it resetswhen it arrives there","",""
"899660332144930826","Henri#6408","25/01/2022 3:53 pm","will redeploy today actually, to correct this and add some other stuff","",""
"317017549860634664","ceriwatt","25/01/2022 4:41 pm","@Henri-l | StarkWare in your last automated tutorial i dont understand what you mean by ""Give token #1 to Evaluator contract"" ?","",""
