Date,Username,User tag,Content,Mentions,link
"2021-01-13,04:27:15","emilyhobbs","#0","Hello and welcome to the <#798845148892889128> channel!

Feel free to reach out to the UMA Team at any point with your questions! 🙌

cc <@!496447655032127499> <@!386752977177673728> <@!324024585869721612>","claytonroche#0、hartlambur#0、sbreezy636#0",""
"2021-01-13,11:28:24","trent_vanepps","#0","https://twitter.com/ETHGlobal/status/1349389930422804480?s=20","",""
"2021-01-13,19:40:44","anu__","#0","<:PogU:613968091394867202> uma sponsor","",""
"2021-01-13,23:38:12","Meir","#7064","Great news 🚀","",""
"2021-01-14,02:05:02","claytonroche","#0","🙃","anu__#0",""
"2021-01-14,08:55:57","emilyhobbs","#0","Here are some docs. to check out! 👀 

**Introduction to what UMA does:**
https://docs.umaproject.org/
**Starting point for Developers: **https://docs.umaproject.org/build-walkthrough/build-process","",""
"2021-01-14,10:28:39","qryptoz","#0","Hey, I have an idea but I'm unsure what platform to use for it. My idea is a decentralized startup incubator so I would need some sort of reward system similar to profit sharing tokens. Uma could be useful for tracking the worth of ideas  but does Uma have any reward system that could be used to reward contributions to startups?","",""
"2021-01-14,10:39:20","Meir","#7064","Hey guys I want to build a synthetic asset platform on top of UMA for this hackathon. I have some stuff laid out on paper but I need feedback. Would like to set up a technical brainstorming call with someone from the development team if possible.","",""
"2021-01-14,11:51:37","Mhairi","#2271","<@!475680632471814144>   Are you aware of our Developer Mining scheme?
https://medium.com/uma-project/uma-announces-developer-mining-6f6fe15d5604","qryptoz#0",""
"2021-01-14,11:57:21","Mhairi","#2271","<@!604521785223938048> Hey Meir, our technical team hang out quite often on our own server,where we have a dedicated channel for developer questions.   It might be worth posting in there and you should get a fairly reply from one of our engineers.

https://discord.com/channels/718590743446290492/718591751543062548","Meir#7064",""
"2021-01-14,12:00:04","qryptoz","#0","<@!786323819052269608> interesting, I have not heard of this. I could potentially leverage that. My idea is similar but with more of a focus on non-tech ideas and ideas from people with little to no tech background, as well as trying to incentive contributions to ideas from people with more knowledge. Does the Developer mining scheme need some initial investment from the developer? I'm trying to make my idea accessible to anyone, so ideally no initial investment required","Mhairi#2271",""
"2021-01-14,12:10:54","Mhairi","#2271","<@!475680632471814144> No investment required in monetary terms, but it does require investment in building the product that will be used for dev mining, as the rewards are based on the proportion of the Total Value Locked in the smart contract.","qryptoz#0",""
"2021-01-14,13:13:23","qryptoz","#0","<@786323819052269608>  so as I'm understanding it, I could build my product used for dev mining and then spread rewards to users myself? Any possibility we can talk more on a zoom call or something?","Mhairi#2271",""
"2021-01-14,13:39:04","chandlerdk","#0","<@!475680632471814144> happy to chat with you about your idea and really excited for you to build on UMA. 

What is your timelines looking like for the event and what timezone are you in. We can set-up a call tomorrow at the start of the hackathon","qryptoz#0",""
"2021-01-14,14:05:38","qryptoz","#0","<@!410024989002170368> I'm in the Atlantic timezone and I am unfortunately working around school and part-time work during the event but I'm planning on devoting as much time as humanely possible. There was a scheduling error tomorrow that I just found out about so I work tomorrow (but im trying to sort it out)  but I could potentially do a call later on in the evening if that works for you 🙂","chandlerdk#0",""
"2021-01-14,14:06:55","chandlerdk","#0","Works for me. Let's chat in more detail in a DM. Sent you a requst","",""
"2021-01-14,14:08:16","qryptoz","#0","Got it 🙂","",""
"2021-01-14,14:11:49","Meir","#7064","<@!410024989002170368> Could I also get some feedback from you on a call? Planning to build on UMA","chandlerdk#0",""
"2021-01-14,14:12:24","chandlerdk","#0","Just saw your request.

Absolutely lets chat more about what you want to build.","",""
"2021-01-14,14:37:11","jdshutt","#0","Hi everyone! I'm a smart contract engineer at UMA [1] and a former finalist during the #HackMoney hackathon for Oya [2]. I'll be lurking in the hackathon channels (along with <@!786323819052269608>, <@!410024989002170368>, <@!386752977177673728>, <@!496447655032127499>, and <@!324024585869721612>) and would love to help anyone who is interested in building with UMA or just wants feedback on their hack.

[1] https://umaproject.org/
[2] https://youtu.be/fiTo4vj58qk","claytonroche#0、chandlerdk#0、Mhairi#2271、hartlambur#0、sbreezy636#0",""
"2021-01-14,19:11:13","nathan.eth","#6476","I'm considering building a CFD platform on UMA - I think UMA could be a great fit for providing the baseline/template contracts","",""
"2021-01-14,22:24:47","claytonroche","#0","yep absolutely","nathan.eth#6476",""
"2021-01-14,22:25:39","Meir","#7064","Hi John, looking forward to hearing your feedback. Added you.","jdshutt#0",""
"2021-01-15,03:06:54","nathan.eth","#6476","Yeah, I'm gonna build it this hackathon. Should be fun!","claytonroche#0",""
"2021-01-15,03:32:53","chandlerdk","#0","<@!794805316515790848> do you need some help to get the project started? If you need to bounce ideas off the UMA team, please feel free to reach out 🙂","nathan.eth#6476",""
"2021-01-15,03:33:49","nathan.eth","#6476","Yeah, that would be awesome! If you guys are down to hop on a call, feel free to shoot me a DM!","chandlerdk#0",""
"2021-01-15,03:35:51","claytonroche","#0","I like the office hours idea - So anyone can join and chat an open call.","",""
"2021-01-16,17:08:07","kane_theintermesh_com","#0","Is there a link to office hours? I have a contract design issue with the project our team is working on.","",""
"2021-01-16,19:06:35","_timothea","#0","<@!324024585869721612>  hi im very interested in building this: Create long and short synths for $1INCH token using UMA Protocol. Could I dm you about questions about it? thanks!","sbreezy636#0",""
"2021-01-18,00:10:19","claytonroche","#0","Hey Umans, how is it going in here?","",""
"2021-01-18,00:10:41","claytonroche","#0","Yes you definitely should create that","_timothea#0",""
"2021-01-18,00:11:18","claytonroche","#0","Actually encourage you to ask either here or even better, in the #developer-questions channel in discord.umaproject.org","",""
"2021-01-18,00:11:38","claytonroche","#0","That way you'll have the full benefit of the community of developers for insight","",""
"2021-01-18,00:12:06","claytonroche","#0","I don't think we have them set yet, <@410024989002170368> would be our guy here","chandlerdk#0、kane_theintermesh_com#0",""
"2021-01-18,00:12:36","claytonroche","#0","In the meantime, also suggest if you don't mind, to post in the develeoper questions channel on UMA discord","",""
