Date,Username,User tag,Content,Mentions,link
"2021-03-15,16:58:08","emilyhobbs","#0","Hello and welcome to the <#819516506445840395>  channel

Feel free to reach out to the Team at any point with your questions! 🙌

cc <@!420370295698751510>","nkennethk#0",""
"2021-03-19,02:14:58","nkennethk","#0","👋🏼 hey yall!","",""
"2021-03-19,08:09:28","leozeba.eth","#0","Let's hack!","",""
"2021-03-19,08:44:37","buan_thomas","#0","Is UNIswap about to announce NFT integration with some other clever mechanics ?","",""
"2021-03-19,08:45:04","buan_thomas","#0","<:NFTHack:819973379049127996>","",""
"2021-03-19,10:16:39","jacobw","#0","I for one am excited about Uniswap V5","",""
"2021-03-19,13:02:55","buan_thomas","#0","https://twitter.com/haydenzadams/status/1372951409625346055?s=21","",""
"2021-03-19,13:03:20","buan_thomas","#0","So .. no details this weekend it seems","",""
"2021-03-19,13:27:42","timhc22","#9337","<@!761372183246667826> check out NFTX","buan_thomas#0",""
"2021-03-20,02:57:15","jdshutt","#0","x-post for our project, Animal Money, which is live now and mostly Uniswap: https://discord.com/channels/554623348622098432/814196294330613830/822725074339102740","",""
"2021-03-20,03:54:21","theoephraim","#0","hello uniswap folks! Quick question - I'm trying to use your subgraph just to pull daily prices for various tokens, but it seems there are duplicate tokens with different IDs and with different date ranges available. Any advice on a simple way to just pull that data easily?","",""
"2021-03-20,03:55:45","theoephraim","#0","","","https://cdn.discordapp.com/attachments/819516506445840395/822740182397878323/unknown.png"
"2021-03-20,05:13:33","secretshardul","#0","How exactly do unisocks work? Do $SOCK redeemers only get a physical sock or also get an NFT?","",""
"2021-03-20,07:56:07","tao4869","#0","😆","",""
"2021-03-20,11:09:09","nkennethk","#0","hmm I’m not entirely sure but have you taken a look at token lists?","theoephraim#0",""
"2021-03-20,11:09:42","nkennethk","#0","socks are ERC20! at point of redemption it becomes 721 and a physical sock","secretshardul#0",""
"2021-03-20,11:18:53","secretshardul","#0","Cool. Can sock ERC20 exist in fractions? Eg. Someone owning 0.1 $SOCK","nkennethk#0",""
"2021-03-20,17:22:20","nkennethk","#0","yes they can!","secretshardul#0",""
"2021-03-20,17:22:59","nkennethk","#0","would love to see what happens if you wrap redeemed socks to become ERC20s","",""
"2021-03-20,17:23:00","nkennethk","#0","eg","",""
"2021-03-20,17:23:22","nkennethk","#0","donate socks to a museum that will never be touched and wrap them back into liquid fractional shares","",""
