AuthorID,Author,Date,Content,Attachments,Reactions
"126875754616193024","nicholas_merten","23/03/2021 11:47 pm","Hey team, just want to give a major hats off to you guys! 🎉 😁 

I know you guys have been working hard to make this happen, and it'll be incredible to see how things will go with v3, as well as the eventual option to port over to L2.

If possible, it'd be a huge help to get any links/resources to v3 that would be of value for a partner. And if you need any help testing or developing, don't hesitate to reach out.

From everyone at the Digifox team, we're rooting for you guys! 🦊 ❤️ 🦄","",""
"208857380824416256","from0to10k","23/03/2021 11:59 pm","Really  good work guy's!","",""
"396019781754683403","mario.revert.finance","24/03/2021 12:18 am","🚀","",""
"154453240535056384","hiturunk","24/03/2021 1:41 am","Was already working on NFT's - so I was SO excited to hear that LP's are moving from ERC20 fungible tokens to NFT's!","",""
"154453240535056384","hiturunk","24/03/2021 1:42 am","","https://cdn.discordapp.com/attachments/823968973753810945/824012714904387594/unknown.png",""
"154453240535056384","hiturunk","24/03/2021 1:43 am","https://github.com/Uniswap/uniswap-v3-periphery/blob/main/contracts/NonfungiblePositionManager.sol","",""
"730463593711140956","bor444","24/03/2021 1:44 am","if I can't include pictures to it I don't need it","",""
"730463593711140956","bor444","24/03/2021 1:46 am","on serious note. This part: ""trading fees are no longer automatically reinvested back into the pool"" ... how will that look? Will you have to come by on the regular claim your fees and add them back into the pool?","",""
"394939327022497802","oraclide","24/03/2021 1:47 am","Great work on the custom LP curves to maximize market efficiency.","",""
"394939327022497802","oraclide","24/03/2021 1:48 am","The fee part, why not leave that to the market rather than proposing a finite set of categorical choices?","",""
"394939327022497802","oraclide","24/03/2021 1:48 am","Gas costs is mentioned. I can imagine token pairs where 1% is insufficient to pay for LP risk, for example.","",""
"394939327022497802","oraclide","24/03/2021 1:50 am","Shouldn't LP's be building gradients rather than curves? meaning that for every zone on their custom curves, they place different fee levels and the system sorts by order of descending fees?","",""
"730463593711140956","bor444","24/03/2021 1:50 am","@Oraclide well something must be left for v4","",""
"730463593711140956","bor444","24/03/2021 1:50 am","but I like this idea of different fees on different price levels","",""
"154453240535056384","hiturunk","24/03/2021 1:51 am","@Boris Stanic I do too. I was really glad to get some info about what's coming. It was a huge relief for me.","",""
"154453240535056384","hiturunk","24/03/2021 1:51 am","As a dev so focused on Uniswap - it was a huge assurance to see ""Here's the plan"" - so I can adjust PP to it and such. 😄 So, Thanks Hayden!","",""
"394939327022497802","oraclide","24/03/2021 1:51 am","Ok, fair enough. Leave work for v4! it's a great improvement already.","",""
