Date,Username,User tag,Content,Mentions,link
"2022-06-02,11:24:38","awliang","#0","","","https://cdn.discordapp.com/attachments/981941412713087037/981941421621780550/unknown.png"
"2022-06-16,23:58:09","awliang","#0","Hello and welcome to the <#981941412713087037> channel <:nfteth:822186186016948314> 

Feel free to reach out to the Unlock Team at any point with your questions! 

Just giving you all a quick snapshot for you to get quickly acquainted!


👀 **ABOUT** 
**Unlock** is an open source, Ethereum-based protocol designed to streamline membership benefits for online communities. Unlock is meant to help creators find ways to monetize or manage membership without relying on a middleman. It’s a protocol — and not a centralized platform that controls everything that happens on it.Unlock’s mission is about taking back subscription and access from the domain of middlemen — from a million tiny silos and a handful of gigantic ones — and transforming it into a fundamental business model for the web.The Unlock Protocol can be applied to DAO tooling (e.g. token gating) content locking (paywalls), newsletters, software licenses or even the physical world, such as NFT ticketing.


🏆 **PRIZE OVERVIEW **

Most inventive use of Unlock Protocol:
🥇 1st Prize $3,000
🥈 2nd Prize $1,500
🥉 3rd Prize $500

**↓ Full Prize Breakdown Here ↓ **
https://ny.ethglobal.com/prizes/


🚀 **WORKSHOP** 
https://youtu.be/Eri8FcwMk3w


🔗 **IMPORTANT LINKS**
https://unlock-protocol.com/guides/
https://docs.unlock-protocol.com/unlock/
https://docs.unlock-protocol.com/unlock/developers/tutorials?_ga=2.109252163.778530295.1654545442-1987130015.1654295853
https://www.youtube.com/c/UnlockProtocol
https://github.com/unlock-protocol","",""
"2022-06-21,05:48:44","HenryHoffman","#7933","Hey everyone. I took part in the EthGlobal HackFS hackathon a year ago with our NFT-based PC game marketplace GameVault. We've since built on that hackathon entry and raised $500k in pre-seed funding, as well as taking part in Animoca-backed accelerator Launchpad Luna. We're very busy working towards MVP launch in the next few months. You can see our entry here: https://showcase.ethglobal.com/hackfs2021/games-vault

We used Unlock extensively for GameVault, so I'm going to be around here during the hackathon to help out as best I can! I also built the Unity and Decentraland integrations for Unlock, so if you have any questions on them, I can help out there too!

Best of luck everyone! 🔒 🚀","",""
"2022-06-21,15:05:56","wonderwomancode","#0","Thanks for joining! We appreciate you.","HenryHoffman#7933",""
"2022-06-24,16:41:22","wonderwomancode","#0","Alright devs, who will be the first to build a Zoom app that uses Unlock to token gate a stream? https://www.producthunt.com/posts/zoom-apps-sdk","",""
"2022-06-24,22:09:01","rpavlovs","#0","Hi, is anyone at the event rn? We have a few questions about a hack we are thinking of making","",""
"2022-06-24,22:09:49","ccarfi","#0","ask away! how can we help?","",""
"2022-06-24,22:11:46","rpavlovs","#0","We want to make gated pay-per-view text publication using lens protocol. Would it be possible to use unlock for the actual gating mechanism?","",""
"2022-06-24,22:15:30","ccarfi","#0","absolutely should be!","",""
"2022-06-24,22:22:45","ccarfi","#0","lots of guides and examples here https://docs-unlock-protocol-com.netlify.app/Tutorials/locking-media-content","rpavlovs#0",""
"2022-06-25,10:33:26","wonderwomancode","#0","I'm here all day if you need any more help!","rpavlovs#0",""
"2022-06-25,12:30:21","wonderwomancode","#0","I'm hanging out at the white tables by the food lines in case anyone has any questions!","",""
